"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured.Start.Date","Occured.End.Date","Occured.Start.Time","Occured.End.Time","Stand_inc"
"1168","Information","6054 S. Drexel",NA,"3/10/2014","14:54","Well-being investigation","Open","D00234","3/5/2014",NA,"3:15",NA,"OTHER"
"1169","Information","1116 E. 59th St. ","Harper Library","6/18/2015","8:45","Staff member reported elevator key is bent and will be replaced","Closed","E00393","6/18/2015",NA,"6:40",NA,"UTILITY INCIDENT"
"1170","Information","Woodlawn between 52nd & 53rd",NA,"3/21/2014","23:44","As a result of a well being check an individual was transported to ER for evaluation and treatment","Closed","D00275","3/21/2014",NA,"23:40",NA,"WELL BEING CHECK"
"1171","Information","850 E. 61st St. ","UCPD HQ","3/13/2018","10:45","Information relating to a UCPD investigation","Closed","18-00254","3/12/2018","3/13/2018","10:45","10:45","OTHER"
"1172","Information","5840 S. Kenwood ","Lab School","4/7/2016","14:07","Investigation of possible physical abuse of an individual","Open","16-00290","4/6/2016","4/7/2016","12:00","12:00","OTHER"
"1173","Information","6045 S. Kenwood",NA,"10/2/2017","12:10","Report of suspicious letter received by staff member","Closed","17-00831","9/25/2017",NA,"12:00",NA,"OTHER"
"1174","Information","5758 S. Maryland ","DCAM CafÃƒÂ©","5/9/2017","14:19","A staff member observed an individual place several items of candy in a plastic bag and called police / Individual had not left the cafe with items / No theft occurred","Closed","17-00367","5/9/2017",NA,"14:15",NA,"OTHER"
"1175","Information","5841 S. Maryland ","Billings Hospital","9/15/2016","9:37","Staff member received an ""inappropriate"" response to an email message from a staff member / Referred to Human Resources","Referred","16-00779","9/2/2016",NA,"0:10",NA,"OTHER"
"1176","Information","5625 S. Ellis ","Max Palevsky","6/5/2014","14:01","Unknown person(s) threw eggs hitting a window / No property damage","Closed","D00532","6/5/2014",NA,"0:05",NA,"OTHER"
"1177","Information","1020 E. 58th St. ","Kent Lab","5/22/2015","14:52","Exam papers stored in file box in secured office appear to have been disturbed","Closed","E00326","5/21/2015","5/22/2015","18:00","13:00","OTHER"
"1178","Information","5710 S. Woodlawn ","Center for Identity & Inclusion","5/30/2017","11:24","Staff members report receiving unwanted, unsolicited religious literature in the mail","Closed","17-00454","5/25/2017","5/30/2017","11:00","11:00","OTHER"
"1179","Information","5801 S. Ellis ","Levi Hall","10/22/2015","18:23","Graffiti written in chalk placed on sidewalks and building exteriors around the Main Quadrangle / Facilities notified","Closed","E00695","10/22/2015",NA,"18:23",NA,"OTHER"
"1180","Information","5801 S. Ellis ","Levi Hall","5/10/2017","14:57","Information relating to non-threatening phone calls received","Closed","17-00371","5/10/2017",NA,"13:20",NA,"OTHER"
"1181","Information","1100 E. 58th St. ","Ryerson","2/9/2016","13:06","Staff member reports receipt of unwanted telephone calls and email messages from a former boyfriend","Closed","16-00140","1/18/2015","2/9/2016",NA,NA,"OTHER"
"1182","Information","6031 S. Ellis ","SCRH","1/15/2014","15:07","Individual found his bicycle that had been stolen in October 2013, but not reported to the police / Serial number on bike matched sales receipt","Closed","D00041","1/15/2014",NA,"15:00",NA,"OTHER"
"1183","Information","5800 S. Stony Island ","Shapiro Hall Parking Lot","5/22/2017","16:22","An individual informed a security officer that she was struck by a parking lot gate as it was lowering / Reported no injury and declined medical attention","Closed","17-00415","5/22/2017",NA,"15:50",NA,"MEDICAL INCIDENT"
"1184","Information","5841 S. Maryland ","Mitchell Hospital","12/12/2017","16:06","Report documenting dispute between two staff members","Closed","17-01121","12/12/2017",NA,"14:50",NA,"OTHER"
"1185","Information","1010 E. 59th St. ","Wieboldt Hall","2/27/2016","17:20","2 subjects were observed on the roof of the building / Subjects came down when ordered to do so","Referred","16-00181","2/27/2016",NA,"17:15",NA,"OTHER"
"1186","Information","850 E. 61st St. ","UCPD HQ","8/15/2017","14:15","Information regarding disturbing postings on social media site","Open","17-00672","5/27/2017","8/15/2017",NA,NA,"OTHER"
"1187","Information","850 E. 58th St. ","American School Bldg.","10/5/2017","9:30","Information relating to telephone messages","Closed","17-00842","10/4/2017","10/5/2017","9:55","7:40","OTHER"
"1188","Information","5700 S. Maryland ","CCD Starbucks Caf<e9>","8/3/2015","15:19","Individual attempted to pay for item with a counterfeit $100 bill / Suspect fled before police were called / Bill inventoried","Closed","E00482","8/3/2015",NA,"15:10",NA,"OTHER"
"1189","Information","6045 S. Kenwood ","ITS","2/24/2015","14:25","Complaints regarding harassing website postings","Open","E00140","2/21/2015","2/24/2015","2:00","14:20","OTHER"
"1190","Information","1330 E. 53rd St. ","Vue 53","2/5/2018","3:15","Sick person transported to ER for evaluation and treatment / CPD case JB141481","CPD","18-00116","2/5/2018",NA,"3:15",NA,"MEDICAL INCIDENT"
"1191","Information","1100 E. 57th St. ","Regenstein Library","1/21/2015","10:31","Suspicious person attempted to gain entrance to the library without proper ID and tried to intimidate staff","Open","E00053","1/20/2015",NA,"20:45",NA,"OTHER"
"1192","Information","5545 S. Woodlawn",NA,"6/26/2015","1:22","Individual seen pulling on doors of vehicles parked on the street / Fled upon seeing UCPD / Detained and released","Closed","E00412","6/26/2015",NA,"1:22",NA,"OTHER"
"1193","Information","1414 E. 59th St. ","I-House","6/9/2014","23:42","Individual discovered a paper with a swastika drawing taped to the hallway door to his room","Open","D00550","6/9/2014",NA,"13:00","16:30","OTHER"
"1194","Information","Ridgewood between 54th & 55th",NA,"1/30/2016","15:25","Victim supplied additional information relating to motor vehicle theft that occurred off-campus the previous day / CPD case HZ131023","CPD","16-00110","1/29/2016",NA,"18:00",NA,"OTHER"
"1195","Information","920 E. 58th St. ","Cummings","1/19/2016","1:38","Water pipe burst in room 406A / CFD and building engineer on site","Closed","16-00063","1/19/2016",NA,"1:38",NA,"UTILITY INCIDENT"
"1196","Information","Greenwood between 48th & 49th",NA,"3/18/2014","20:00","Disturbance / Peace restored","Closed","D00264","3/18/2014",NA,"19:55",NA,"OTHER"
"1197","Information","6054 S. Drexel",NA,"7/22/2014","16:17","Disruptive, disorderly contract employee escorted out of office building by UCPD","Closed","D00679","7/22/2014",NA,"16:00",NA,"DISTURBANCE"
"1198","Information","E. 50th St. near Cornell",NA,"10/8/2015","14:14","Subsequent to a well-being check, ill person transported to ER for evaluation and treatment","Closed","E00638","10/8/2015",NA,"19:50",NA,"WELL BEING CHECK"
"1199","Information","1101 E. 58th St. ","Rosenwald","1/9/2014","18:40","Flooding reported in basement due to a leaking radiator pipe / Facilities Dept. on the scene","Closed","D00018","1/9/2014",NA,"18:30",NA,"UTILITY INCIDENT"
"1200","Information","5505 S. Ellis ","Ellis Parking Structure","2/7/2018","13:33","Individual walking on ground level of parking structure slipped and fell to the floor / Declined medical attention at this time","Closed","18-00129","2/7/2018",NA,"13:20",NA,"MEDICAL INCIDENT"
"1201","Information","850 E. 61st St. ","UCPD HQ","10/8/2017","1:44","Information relating to a posting on a social media site","Open","17-00855","10/8/2017",NA,"0:20",NA,"OTHER"
"1202","Information","850 E. 61st St. ","UCPD","1/19/2017","16:30","Individual reports ongoing suspicious activity off-campus / Previously reported to CPD","Closed","17-00063","4/1/2015","1/19/2017",NA,NA,"OTHER"
"1203","Information","5758 S. Maryland ","DCAM","7/7/2014","14:17","Unknown person attempted to use physician's DEA information to obtain drugs at a pharmacy / DEA case","DEA","D00647","7/6/2014",NA,"8:00",NA,"NARCOTICS"
"1204","Information","1101 E. 58th St. ","Rosenwald","12/10/2015","3:17","During a routine building check, UCPD officer observed an unauthorized individual on the premises / Subject issued a trespass warning","Closed","E00827","12/10/2015",NA,"3:17",NA,"TRESPASS"
"1205","Information","5855 S. University",NA,"1/11/2015","22:19","While on foot patrol, UCPD officer slipped and fell to the ground / Declined medical attention","Closed","E00029","1/11/2015",NA,"21:55",NA,"MEDICAL INCIDENT"
"1206","Information","1009 E. 57th St. ","Snell-Hitchcock","2/11/2014","20:05","Unknown person walked into room looking for a study group / Left after being informed no study group was meeting at that location","Closed","D00151","2/11/2014",NA,"20:00",NA,"OTHER"
"1207","Information","Harper between 57th & 58th",NA,"11/1/2016","21:36","Unauthorized individual warned about trespass to private property at off-campus private building","Closed","16-00973","11/1/2016",NA,"21:25",NA,"TRESPASS"
"1208","Information","5700 S. Ellis ","Public Way","3/22/2014","19:56","Contract employee reported seeing a passenger in a passing car with a handgun in his possession","Open","D00277","3/22/2014",NA,"19:50",NA,"WEAPON"
"1209","Information","5751 S. Woodlawn ","Seminary Co-Op Bookstore","6/4/2014","11:55","Individual walked out of the store in possession of an item without paying / UCPD officer detained suspect / Suspect transported to hospital by CFD for psychological evaluation / No charges filed","Closed","D00521","6/4/2014",NA,"11:00",NA,"OTHER"
"1210","Information","5758 S. Maryland",NA,"2/16/2015","14:14","Ex-contract employee created a disturbance / Peace restored","Closed","E00120","2/16/2015",NA,"14:00",NA,"DISTURBANCE"
"1211","Information","901 E. 58th St. ","Mitchell ER","8/7/2017","10:55","Information regarding a suspicious phone call received by a staff member","Closed","17-00653","8/7/2017",NA,"10:10",NA,"OTHER"
"1212","Information","901 E. 58th St. ","Mitchell ER","1/23/2016","0:28","UCPD officers assisted medical staff by escorting a disorderly patient back into the ER after he left the building without physician's permission / Peace restored","Closed","16-00081","1/23/2016",NA,"0:28",NA,"DISTURBANCE"
"1213","Information","850 E. 61st St. ","UCPD HQ","1/7/2018","13:26","Information relating to Facebook posts","Closed","18-00024","1/7/2018",NA,"13:26",NA,"OTHER"
"1214","Information","1100 E. 58th St. ","Ryerson","5/26/2014","2:40","Seven unauthorized individuals found in 5th floor office / Escorted from building","Referred","D00486","5/26/2014",NA,"2:40",NA,"OTHER"
"1215","Information","4444 S. Evans ","Charter School","3/27/2014",NA,"Staff member complained of annoying letters sent by another staff member","Closed","D00284","2/10/2014","3/26/2014","8:00","8:00","OTHER"
"1216","Information","969 E. 60th St. ","SSA","12/31/2014","10:00","Unauthorized individual observed roaming about the building / Subject issued trespass warning by UCPD","Closed","D01081","12/31/2014",NA,"9:00","10:00","TRESPASS"
"1217","Information","1215 E. Hyde Park",NA,"11/3/2014","13:53","Individual secured an order of protection","Closed","D00958","11/3/2014",NA,"9:50",NA,"OTHER"
"1218","Information","5800 S. Greenwood ","Main Quad","4/24/2017","16:16","An unknown individual talking to a group of people briefly put his hand in his pants, but did not expose himself / The individual quickly left walking northbound on University","Closed","17-00330","4/24/2016",NA,"16:05",NA,"OTHER"
"1219","Information","6054 S. Drexel",NA,"4/21/2015","9:16","UC owned vehicle struck by another vehicle out of area / Property damage only / No injuries reported","Closed","E00255","4/21/2015",NA,"9:16",NA,"ACCIDENT"
"1220","Information","901 E. 58th St.",NA,"7/12/2014","2:01","Unknown person took ambulance parked unattended near ER / CPD case HX341670","CPD","D00663","7/12/2014",NA,"1:00","1:45","OTHER"
"1221","Information","1215 E. Hyde Park ","Max Mason","1/16/2016","23:30","As a result of a well-being check, individual transported to the ER for evaluation and treatment","Closed","16-00056","1/16/2016",NA,"23:30",NA,"WELL BEING CHECK"
"1222","Information","1005 E. 60th St. ","Burton-Judson","4/8/2014","16:01","UCPD officer assisted Housing staff with  an inquiry from another law enforcement agency","Closed","D00331","4/8/2014",NA,"16:01",NA,"OTHER"
"1223","Information","1212 E. 59th St.",NA,"5/7/2016","22:12","Individual complained of receiving numerous unwanted texts from a new acquaintance after asking him to stop / Offending person contacted by UCPD and agreed to cease unwanted contact","Closed","16-00382","5/7/2016",NA,"12:00","22:10","OTHER"
"1224","Information","860 E. 59th St. ","Goldblatt Hospital","12/28/2017","18:38","Faulty radiator in 3rd floor room caused water sprinklers to activate / Minor water damage resulted","Closed","17-01159","12/28/2017",NA,"18:20",NA,"UTILITY INCIDENT"
"1225","Information","6031 S. Ellis ","Granville-Grossman RH","6/22/2015","20:31","Mirror in resident's room was broken / Cause unknown","Closed","E00404","6/22/2015",NA,"12:45","20:20","OTHER"
"1226","Information","5225 S. Cottage Grove ","Facilities Services","5/20/2016","10:17","Report of threats made by an individual / Complainant did not want to pursue prosecution at this time","Referred","16-00424","5/12/2016","5/20/2016","12:00","10:00","OTHER"
"1227","Information","5550 S. University ","Crown Field House","9/23/2017","12:55","Item, prohibited on campus, was sent to individual / Item to be returned to sender","Closed","17-00802","9/23/2017",NA,"12:45",NA,"OTHER"
"1228","Information","Stony Island between 56th & 57th",NA,"10/3/2014","8:55","Individual reported suspicious activity","Closed","D00882","9/29/2014","10/1/2014","15:15","16:00","OTHER"
"1229","Information","6054 S. Drexel",NA,"1/6/2014","8:03","Minor damage reported to UC owned vehicle","Closed","D00007","1/6/2014",NA,"7:40",NA,"OTHER"
"1230","Information","1407 E. 60th St. ","CTS","6/9/2014","12:55","A terminated contract employee was observed in the building without authorization","Closed","D00546","6/8/2014",NA,"18:15","18:20","OTHER"
"1231","Information","Kenwood between 56th & 57th",NA,"9/7/2016","15:42","Information relating to a dispute between neighbors","Closed","16-00754","8/26/2016","8/31/2016","7:00","15:00","OTHER"
"1232","Information","Midway Pl. at University",NA,"6/9/2014","17:46","Individual reported seeing a subject who has been banned from campus","Closed","D00548","6/8/2014",NA,"17:00",NA,"OTHER"
"1233","Information","6030 S. Kimbark ","Parking Lot","6/2/2016","0:48","Contract employee found deceased in his vehicle parked in the parking lot / CPD case","CPD","16-00464","6/2/2016",NA,"0:48",NA,"OTHER"
"1234","Information","5721 S. Maryland ","Comer Hospital","10/5/2015","10:50","Report of suspicious calls received by staff","Closed","E00627","10/4/2015","10/5/2015","18:00","10:25","OTHER"
"1235","Information","Blackstone between 58th & 59th",NA,"1/30/2016","23:57","As a result of a well-being check individual transported to ER by CFD EMS for evaluation and treatment","Closed","16-00112","1/30/2016",NA,"23:57",NA,"WELL BEING CHECK"
"1236","Information","6031 S. Ellis",NA,"5/12/2016","11:55","Individual expressed concern about a website posting","Closed","16-00394","5/11/2016",NA,"22:00","23:00","OTHER"
"1237","Information","1116 E. 59th St. ","Harper Library","3/9/2018","15:33","Banned subject seen in the library / Suspect fled prior to police arrival","Closed","18-00243","3/9/2018",NA,"15:30",NA,"OTHER"
"1238","Information","860 E. 59th St. ","Goldblatt","4/9/2015","20:39","Two staff members involved in a verbal dispute / Incident handled by Human Resources","Closed","E00230","4/9/2015",NA,"15:00",NA,"OTHER"
"1239","Information","6021 S. Cottage Grove ","Facilities Services","10/27/2014","13:04","Two wooden benches reported missing / One bench located / Apparent inventory problem / No reason to suspect a theft occurred","Closed","D00937","8/29/2014","10/15/2014","8:30","8:30","OTHER"
"1240","Information","5656 S. Maryland ","Parking Structure","2/17/2017","11:12","Unauthorized individual was found trespassing in the parking structure / Issued a written trespass warning","Closed","17-00138","2/17/2017",NA,"11:00",NA,"TRESPASS"
"1241","Information","901 E. 58th St. ","Mitchell ER","2/1/2014","5:50","Patient in ER was using iPhone to video staff and other patients in treatment area and refused to cease activity when told to do so by staff / Ceased activity and deleted images after UCPD responded","Closed","D00103","2/1/2014",NA,"3:25",NA,"OTHER"
"1242","Information","6054 S. Drexel",NA,"6/16/2015","14:04","Suspected fraudulent check received and inventoried","Closed","E00386","6/16/2015",NA,"14:04",NA,"OTHER"
"1243","Information","902 E. 58th St. ","Mitchell ER","6/24/2014","5:09","Unruly, disruptive individual escorted from ER / Issued trespass warning","Closed","D00603","6/24/2014",NA,"5:05",NA,"TRESPASS"
"1244","Information","5300 S. University",NA,"11/23/2015","18:29","Suspect took iPhone from victim walking on the sidewalk off campus / UCPD officers tracked phone and detained a suspect and also recovered the phone / Victim positively identified suspect but refused to prosecute","Closed","E00788","11/23/2015",NA,"18:25",NA,"OTHER"
"1245","Information","6054 S. Drexel ","UC Parking Structure","9/11/2016","21:57","Unauthorized individual was warned about trespassing in the parking structure / Given written warning and sent on his way","Closed","16-00768","9/11/2016",NA,"21:57",NA,"TRESPASS"
"1246","Information","5800 S. Stony Island ","Shapiro Hall","2/20/2016","2:30","Arm missing from gate in parking lot / Facilities notified","Closed","16-00164","2/20/2016",NA,"2:30",NA,"OTHER"
"1247","Information","5815 S. Maryland ","Mitchell Hospital","4/13/2015","20:34","Disorderly patient / Peace restored","Closed","E00238","4/13/2015",NA,"20:20",NA,"OTHER"
"1248","Information","6054 S. Drexel ","Parking Structure","9/19/2014","10:11","UC  owned vehicle involved in accident with a parked vehicle / Property damage only / MVA00292","Closed","D00816","9/19/2014",NA,"8:55",NA,"ACCIDENT"
"1249","Information","6400 S. Dorchester",NA,"7/28/2014","13:55","UCPD officers attempted to pull over a vehicle for a traffic violation / Vehicle sped off / Pursuit terminated in the interest of public safety","Closed","D00691","7/28/2014",NA,"13:55",NA,"OTHER"
"1250","Information","5815 S. Maryland ","Mitchell Hospital","6/24/2014","16:53","Patient awaiting transfer to another  facility left hospital without authorization / Also wanted by CPD / CPD case HX295821","CPD","D00608","6/24/2014",NA,"15:55",NA,"OTHER"
"1251","Information","1101 E. 58th St. ","Rosenwald Hall","12/28/2015","13:58","Staff member reports receiving annoying phone call","Closed","E00870","12/28/2015",NA,"13:50",NA,"OTHER"
"1252","Information","970 E. 58th St. ","Bookstore","9/21/2016","15:44","Individual found tampering with merchandise warned not to return to the store","Closed","16-00813","9/21/2016",NA,"15:40",NA,"OTHER"
"1253","Information","1401 E. Hyde Park ","Carlton","12/30/2014","9:08","Report of email exchange soliciting money","Open","D01079","12/30/2014",NA,"6:50",NA,"OTHER"
"1254","Information","5235 S. Harper",NA,"1/7/2018","12:21","Broken pipe in roof top mechanical room caused water leakage into 11th & 12th floor offices","Closed","18-00023","1/7/2018",NA,"1:00",NA,"UTILITY INCIDENT"
"1255","Information","54th near Woodlawn",NA,"3/27/2017","17:52","Individual reports being victimized by defaming posts on several websites / Referred to CPD","CPD","17-00244","2/28/2017","3/7/2017","19:00","19:00","OTHER"
"1256","Information","58th between Kenwood & Dorchester",NA,"3/28/2016","22:03","Dispute between former off-campus roommates as to disposition of personal property / Referred","Referred","16-00255","3/18/2016",NA,"7:30",NA,"OTHER"
"1257","Information","5700 S. Maryland ","CCD","9/5/2014","16:41","Individual received harassing text messages on cell phone / Contacted Chicago police / CPD case HX412081","CPD","D00783","9/2/2014","9/4/2014","15:35","15:30","OTHER"
"1258","Information","1111 E. 60th St. ","Law School","11/6/2017","9:36","Individual reports receipt of annoying, harassing e-mail messages from a known person","Closed","17-00995","12/1/2016","11/1/2017",NA,NA,"OTHER"
"1259","Information","5487 S. Hyde Park",NA,"5/23/2015","17:47","Complaints of loud party / Peace restored","Closed","E00327","5/23/2015",NA,"17:47",NA,"OTHER"
"1260","Information","6031 S. Ellis ","SCRH","7/31/2014","17:14","Unknown person placed two small magnets on door jamb of a room","Closed","D00704","7/31/2014",NA,"7:45","15:00","OTHER"
"1261","Information","5735 S. Ellis ","Searle Lab","2/9/2017","19:41","Unauthorized individual found in building / Issued  written trespass warning and escorted from the premise","Closed","17-00119","2/9/2017",NA,"19:40",NA,"TRESPASS"
"1262","Information","5600 S. Hyde Park",NA,"3/27/2014","22:23","UCPD officer attempted to stop a vehicle that had been reported stolen to CPD / Vehicle sped off / Pursuit terminated in the interest of public safety","Closed","D00288","3/27/2014",NA,"22:23",NA,"OTHER"
"1263","Information","1100 E. 57th St. ","Regenstein Library","9/15/2016","11:07","Unknown person(s) knocked books from shelves in 2nd and 3rd floor stacks","Closed","16-00785","9/14/2016","9/15/2016","16:30","8:00","OTHER"
"1264","Information","6054 S. Drexel ","UCPD","2/5/2014","16:25","Inter-agency confidential report","Closed","D00124","2/5/2014",NA,"16:25",NA,"OTHER"
"1265","Information","5811 S. Ellis ","Cobb Hall","1/27/2017","14:25","UCPD officer provided security subsequent to a contract employee being discharged / No problem reported","Closed","17-00082","1/27/2017",NA,"14:25",NA,"OTHER"
"1266","Information","5815 S. Maryland ","Mitchell Hospital","8/20/2015","17:21","Information relating to domestic complaint that occurred outside of UCPD jurisdiction / CPD investigation HY375121","CPD","E00513","8/20/2015",NA,"17:21",NA,"DISTURBANCE"
"1267","Information","5837 S. Maryland ","UC Medicine","7/13/2017","13:29","Quantity of narcotics turned over to UCPD after completion of a medical study as required by federal law / Narcotics inventoried by UCPD for proper disposal","Closed","17-00585","7/13/2017",NA,"13:29",NA,"NARCOTICS"
"1268","Information","6054 S. Drexel",NA,"9/11/2014","15:24","Investigation of suspicious e-mail messages","Open","D00795","9/11/2014",NA,"4:35","15:20","OTHER"
"1269","Information","6054 S. Drexel ","UCPD HQ","2/18/2014","15:31","Woman complained of abuse by a male associate but declined to reveal his identity and declined services offered / Provided with victim assistance information","Closed","D00171","2/14/2014",NA,"10:25",NA,"OTHER"
"1270","Information","5630 S. University ","Max Palevsky","6/19/2014","13:24","Staff member reported a suspicious individual attempted to gain entry to the building but was denied access without proper credentials","Closed","D00586","6/18/2014",NA,"23:30",NA,"OTHER"
"1271","Information","5700 S. Stony Island ","Stony Island RH","9/12/2017","17:40","Individual seen tampering with bicycles secured to bike rack was issued a warning not to trespass on UC property","Closed","17-00760","9/12/2017",NA,"17:20",NA,"TRESPASS"
"1272","Information","850 E. 61st St. ","UCPD HQ","7/31/2017","8:42","Damage reported on UC owned vehicle / Cause unknown at this time","Closed","17-00632","7/31/2017",NA,"6:45",NA,"OTHER"
"1273","Information","1111 E. 60th St. ","Law School","10/11/2016","13:22","Information relating to parcels received at other institutions that bore a return address of the Law School","Closed","16-00877","6/20/2016","10/7/2016",NA,NA,"OTHER"
"1274","Information","901 E. 58th St.",NA,"9/15/2014","2:44","Disorderly, intoxicated individual transported to Jackson Park Hospital for evaluation and treatment","Closed","D00801","9/15/2014",NA,"2:44",NA,"MEDICAL INCIDENT"
"1275","Information","322. E. Illinois ","Out of Area","1/8/2016","20:36","Individual's wallet containing UC ID was lost or stolen while in movie theater off campus / Referred to CPD","CPD","16-00027","1/7/2016","1/8/2016","22:45","1:00","OTHER"
"1276","Information","6031 S. Ellis ","Granville-Grossman RH","11/5/2015","15:39","UCPD officer asked to stand by during an employee termination meeting / Subject escorted off site without incident","Closed","E00744","11/5/2015",NA,"15:39",NA,"OTHER"
"1277","Information","5748 S. Blackstone ","Blackstone Hall","4/1/2014","10:09","Two pieces of mail appear to have been opened prior to delivery to addressee","Closed","D00301","3/25/2014","3/30/2014","8:00","7:00","OTHER"
"1278","Information","1327 E. 57th St. ","Z&H Coffee Shop","6/5/2016","14:25","Individual left a cell phone on a table in restaurant but upon return could not locate the phone / Management later called the individual and reported locating the phone which was returned to owner","Closed","16-00475","6/5/2016",NA,"13:20","13:40","OTHER"
"1279","Information","5639 S. University ","Fraternity House","1/31/2016","19:35","As a result of a well-being check, individual was transported to ER for evaluation and treatment","Closed","16-00114","1/31/2016",NA,"19:35",NA,"OTHER"
"1280","Information","5816 S. Maryland ","Mitchell Hospital","1/23/2015","18:42","Patient left the hospital without authorization / CPD report HY126288 / Missing person returned to residence at 11:30 PM 1/23/15","CPD","E00065","1/23/2015",NA,"18:35",NA,"OTHER"
"1281","Information","900 E. 57th St. ","Knapp Center","1/4/2018","8:32","Individual reported that during a conversation another person grabbed the complainant by the arm in November 2017","Closed","18-00010","11/8/2017",NA,"11:00",NA,"OTHER"
"1282","Information","5300 S. Dorchester ","Public Way","8/26/2015","23:44","Suspicious letter received from an unknown person / Inventoried by UCPD","Closed","E00527","8/26/2015",NA,"23:40",NA,"OTHER"
"1283","Information","5505 S. Ellis ","Parking Structure","8/10/2016","23:24","Individual manually lifted gate arm at parking lot exit / Report generated in event lift arm was damaged as a result","Closed","16-00682","8/10/2016",NA,"23:24",NA,"OTHER"
"1284","Information","5838 S. Kenwood ","Lab School","1/10/2015","15:32","3rd floor water leak triggered fire alarm / CFD forced entry to room / No fire","Closed","E00025","1/10/2015",NA,"15:32",NA,"UTILITY INCIDENT"
"1285","Information","6031 S. Ellis ","Granville-Grossman RH","3/6/2016","13:45","Unknown male subject was seen in 3rd floor washroom while resident was in the shower / Subject fled once he was observed","Open","16-00201","3/6/2016",NA,"12:55",NA,"OTHER"
"1286","Information","5758 S. Maryland ","DCAM","8/8/2014","17:26","Unknown person(s) fraudulently used physician's DEA number to obtain drugs in Lansing, IL / Lansing PD case","Lansing PD","D00728","7/30/2014","8/7/2014","14:00","10:00","NARCOTICS"
"1287","Information","6031 S. Ellis ","SCRH","1/11/2015","20:05","Ill person transported to the hospital for evaluation and treatment","Closed","E00028","1/11/2015",NA,"20:05",NA,"MEDICAL INCIDENT"
"1288","Information","5630 S. University ","Max Palevsky RH","10/10/2015","2:42","Unauthorized individual attempted to enter residence hall following a group of residents / Subject cautioned about trespass and sent on his way","Closed","E00646","10/10/2015",NA,"2:42",NA,"TRESPASS"
"1289","Information","5811 S. Ellis ","Main Quadrangle","12/10/2015","9:27","Information regarding 16 small white flags and note displayed in grass area in the Quad","Closed","E00829","12/7/2015",NA,"13:45",NA,"OTHER"
"1290","Information","61st St. between Greenwood & University",NA,"1/20/2017","14:11","Information of harassment by an acquaintance / CPD case","CPD","17-00067","1/20/2017",NA,"14:00",NA,"OTHER"
"1291","Information","54th & Ridgewood",NA,"7/25/2015","0:50","Unknown suspect asked victim for money / Suspect took cash and fled / Complainant refused police report","","","7/25/2015",NA,"0:30",NA,"OTHER"
"1292","Information","University between 61st & 62nd",NA,"2/3/2016","18:27","Information regarding e mail messages received by off-campus fraternity","Closed","16-00122","2/3/2016",NA,"18:27",NA,"OTHER"
"1293","Information","850 E. 61st St. ","UCPD HQ","9/20/2017","9:38","Individual no longer owns a handgun, turned in live ammunition to UCPD for proper disposal","Closed","17-00784","9/20/2017",NA,"9:38",NA,"OTHER"
"1294","Information","1155 E. 57th St. ","Quad Club","2/23/2016","16:22","Report of phone call received relating to on-going domestic issues of staff member","Closed","16-00172","2/23/2016",NA,"16:22",NA,"OTHER"
"1295","Information","5530 S. Ellis ","Ratner Bike Rack","9/30/2014","19:00","UCPD officers observed individual tampering with bicycle in the bike rack / Individual issued a trespass warning and sent on his way","Closed","D00866","9/30/2014",NA,"18:55",NA,"TRESPASS"
"1296","Information","5700 S. Maryland ","CCD","10/22/2015","12:59","Individual approached a staff member seeking assistance / Admitted for mental health evaluation and treatment","Closed","E00690","10/22/2015",NA,"11:20",NA,"OTHER"
"1297","Information","6000 S. Drexel ","Wells Parking Lot","7/26/2017","1:56","Report of suspicious persons in Wells parking lot","Closed","17-00615","7/26/2017",NA,"1:56",NA,"OTHER"
"1298","Information","5730 S. Drexel ","Comer ER","10/29/2017","17:20","Mother took 3 children from the hospital without being properly released / Hospital personnel requested they be returned for evaluation / UCPD located family and CFD EMS transported to Comer ER / DCFS case 13470344","Referred","17-00948","10/29/2017",NA,"17:20",NA,"MEDICAL INCIDENT"
"1299","Information","1500 E. 53rd St.",NA,"1/25/2014","9:59","Woman reported lost wallet","Closed","D00082","1/24/2014",NA,"17:55",NA,"OTHER"
"1300","Information","1362 E. 59th St. ","Lab School","1/26/2017","16:08","Information provided by contract employee regarding two emergency orders of protection that are on file / CPD cases","CPD","17-00080","1/26/2017",NA,"16:00",NA,"OTHER"
"1301","Information","1452 E. 53rd St. ","Polsky Exchange North","1/8/2018","13:26","Broken sprinkler system pipe caused water damage to 2nd floor offices","Closed","18-00030","1/8/2018",NA,"13:26",NA,"UTILITY INCIDENT"
"1302","Information","57th between University & Woodlawn",NA,"1/24/2014","16:35","An ill individual was transported to ER for evaluation and treatment","Closed","D00079","1/24/2013",NA,"16:35",NA,"MEDICAL INCIDENT"
"1303","Information","55th & Cottage Grove",NA,"8/18/2014","22:18","Three individuals involved in an argument in a car parked on the street / Peace restored","Closed","D00748","8/18/2014",NA,"22:18",NA,"OTHER"
"1304","Information","850 E. 61st St. ","UCPD HQ","10/30/2017","11:10","Individual reported receiving harassing email message from an acquaintance","Closed","17-00954","10/17/2017",NA,"9:05",NA,"OTHER"
