"","Incident","Location","Reported","Occurred","Comments / Nature of Fire","Disposition","UCPDI#"
"1479","Domestic Battery","5721 S. Maryland (Comer Hospital)","5/30/15 2:26 AM","5/30/15 2:15 AM","Mother and father of patient were involved in a physical altercation / Both parties struck the other with fists / Peace restored / Both parties refused prosecution","Ex. Cleared","E00343"
"1480","No Incident Reports this date","No Incident Reports this date","No Incident Reports this date","No Incident Reports this date","No Incident Reports this date","No Incident Reports this date","No Incident Reports this date"
"1481","Theft","1115 E. 58th St. (Walker Bike Rack)","6/1/15 12:18 PM","5/31/15 to 6/1/15 8:00 PM to 12:00 PM","Bicycle secured to bike rack taken by unknown person","Open","E00344"
"1482","Information","5835 S. Kimbark","6/1/15 3:57 PM","6/1/15 3:55 PM","Unknown person used staff member's personal information to file a fraudulent claim with U.S. Social Security Admin. / CPD case","CPD","E00345"
"1483","Information","1025 E. 58th St. (Swift)","6/2/15 2:18 AM","6/2/15 2:18 AM","Three unaffiliated individuals reported tampering with bicycles in bike rack / Subjects were given trespass warnings and sent on their way","Closed","E00346"
"1484","Non-Criminal Damage to Property","850 E. 63rd St. (Car Wash)","6/2/15 8:48 AM","6/2/15 8:00 AM","Rear wiper blade assembly damaged on UC owned vehicle during car wash","Closed","E00347"
"1485","Criminal Damage to Property","5631 S. Cottage Grove (Parking Structure)","6/2/15 7:32 PM","6/2/15 6:45 PM to 7:30 PM","Unknown person(s) spray painted graffiti on north concrete wall of the structure","Open","E00348"
"1486","Information / Aggravated Robbery","4701 S. Ellis (Public Way)","6/3/15 2:11 AM","6/3/15 2:05 AM","Three unknown suspects implied they had a weapon, no weapon seen, took property from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY285724","CPD",""
"1487","Lost Property","5800 S. University  (Main Quad)","6/3/15 8:30 AM","6/2/15 1:00 PM to 1:20 PM","Complainant reports loss of cell phone while riding bicycle through the Main Quad","Closed","E00349"
"1488","Criminal Damage to Property","5505 S. Ellis (Parking Structure)","5/29/15 5:00 PM","5/29/15 8:20 AM to 4:55 PM","Unknown person(s) scratched ""keyed"" front and rear doors of car parked on 2nd floor of the parking structure","Open","E00350"
"1489","Information / Armed Robbery","6300 S. Cottage Grove (Public Way)","6/3/15 2:33 PM","6/3/15 2:30 PM","Two unknown suspects, one armed with a handgun, pulled victim into an alley off campus taking cash and an iPhone / Victim reported no injuries / CPD case","CPD",""
"1490","Lost Property","1414 E. 59th St. (I-House)","6/3/15 2:28 PM","6/2/15 to 6/3/15 8:30 PM to 2:35 PM","Individual lost UC ID card while in I-House","Closed","E00351"
"1491","Criminal Trespass to Land","5801 S. Ellis (Levi Hall)","6/3/15 4:09 PM","6/3/15 4:09 PM","Nine individuals barricaded themselves in building and refused to vacate / All subjects were taken into custody and charged","Arrest","E00352"
"1492","Theft","929 E. 57th St. (GCIS)","6/3/15 3:54 PM","6/3/15 10:40 AM to 10:42 AM","Unknown person took laptop computer from unattended back pack left under desk in unsecured office","Open","E00353"
"1493","Burglary","5530 S. Ellis (Ratner A.C.)","6/4/15 8:53 AM","6/3/15 to 6/4/15 5:15 PM to 8:45 AM","Unknown suspect gained unauthorized entry to unsecured office and took two laptop computers taken from desk top","Open","E00354"
"1494","Information","1212 E. 59th St. (Ida Noyes)","6/4/15 3:02 PM","6/1/15 to 6/4/15 9:00 AM to 3:00 PM","Individual believes someone rummaged through papers on desk","Closed","E00355"
"1495","Void","Void","Void","Void","Number generated in error","Void","E00356"
"1496","Found Property","5731 S. Drexel (Public Way)","6/4/15 6:27 PM","6/4/15 6:00 PM","A bag containing suspect marijuana and a pipe found in bushes / Inventoried at UCPD for disposal","Closed","E00357"
"1497","Theft","5815 S. Maryland (Mitchell Hospital)","6/5/15 9:42 AM","6/5/15 8:20 AM to 9:20 AM","Unattended, unsecured cell phone taken from patient's room","Open","E00358"
"1498","Theft","5815 S. Maryland (Mitchell Hospital)","6/5/15 10:00 AM","6/5/15 8:45 AM to 9:05 AM","Unattended, unsecured cell phone taken from patient's room / Cleared by arrest -  refer to E00363 6/6/15","Arrest","E00359"
"1499","Theft","5815 S. Maryland (Mitchell Hospital)","6/5/15 1:34 PM","6/4/15 to 6/5/15 9:00 PM to 9:00 AM","Unsecured wallet taken from drawer in patient's room / cleared by arrest - refer to E00363 6/6/15","Arrest","E00360"
"1500","Liquor Law Violation","5700 S. Woodlawn (Public Way)","6/6/15 2:54 AM","6/6/2015 2:54","Underage individual who had consumed alcoholic beverages fell onto sidewalk causing laceration to head / Transported to ER by CFD EMS for evaluation and treatment","Referred","E00361"
"1501","Battery","1158 E. 59th St.","6/6/15 11:39 AM","6/6/15 11:10 AM","Individual struck another with fist / Suspect arrested on signed complaint of victim","Arrest","E00362"
"1502","Theft","5815 S. Maryland (Mitchell Hospital)","6/6/15 2:16 PM","6/6/15 1:30 PM to 2:40 PM","Unattended laptop computer taken from bag in patient's room / Public Safety officers located and detained suspect and recovered laptop / Suspect turned over to and arrested by UCPD / Suspect also had in his possession property taken from previous thefts - E00339. E00359, and E00360 / Suspect charged with four counts of theft","Arrest","E00363"
"1503","Found Property","5815 S. Maryland (Mitchell Hospital)","6/6/15 2:16 PM","6/6/15 2:16 PM","Phone charger cord found among property related to Incident Report E00363 / Owner unknown at this time / Inventoried at UCPD","Closed","E00364"
"1504","Theft","929 E. 57th St. (Gordon Center)","6/7/15 11:13 PM","6/7/15 8:10 PM to 11:00 PM","Bicycle taken from the rear of the Gordon Center","Open","E00365"
"1505","Theft","1005 E. 60th St. (Burton-Judson Bike Rack)","6/8/15 11:16 AM","5/28/15 to 6/8/15  10:00 AM to 11:00 AM","Secured bicycle taken from bike rack","Open","E00366"
"1506","Theft","5700 S. Maryland (CCD)","6/8/15 11:37 AM","6/8/15 9:00 AM to 11:00 AM","Unattended, unsecured cell phone taken from patient's room","Open","E00367"
"1507","Theft from Person","1131 E. 57th St. (Mandel Hall)","6/8/15 2:26 PM","6/8/15 12:00 PM","Unknown suspect took wallet from victim's pocket while passing through courtyard doorway in Mandel Hall","Open","E00368"
"1508","Theft","5730 S. Ellis (Crerar Bike Rack)","6/9/15 11:44 AM","6/5/15 to 6/6/15 1:00 PM to 9:00 PM","Unknown person took secured bicycle from bike rack","Open","E00369"
"1509","Information / Theft from Person","Woodlawn at 52nd St.","6/9/15 1:00 PM","6/9/15 1:00 PM","Unknown suspect snatched purse from victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY293969","CPD",""
"1510","Theft","900 E. 57th St. (Knapp Center)","6/10/15 7:26 AM","6/9/15 12:00 PM to 1:00 PM","Wallet taken from unattended, unsecured book bag in 9th floor work cubicle / Subsequent unauthorized use of credit card reported","Open","E00370"
"1511","Non-Criminal Damage to Vehicle","5617 S. Maryland (Utility Plant)","6/10/15 8:15 AM","6/10/15 8:14 AM","Garage door opened damaging rear hatch of car parked in driveway","Closed","E00371"
"1512","Theft","Ellis between 54th & 55th","6/10/15 11:25 AM","6/9/15 11:30 AM to1:00 PM","Two UC owned moving carts taken from court way of off campus private apartment building","Open","E00372"
"1513","Theft","1100 E. 57th St. (Regenstein Bike Rack)","6/10/15 1:14 PM","6/6/15 to 6/8/15 10:00 PM to 3:00 PM","Secured bicycle taken from bike rack","Open","E00373"
"1514","Void","Void","Void","Void","Number generated in error","Void","E00374"
"1515","Non-Criminal Fire","1131 E. 57th St. (Hutchinson Commons Basement)","6/10/15 9:39 PM","6/10/15 9:39 PM","Faulty electrical cord ignited books and papers in basement storage room 022 / CFD responded and extinguished fire / No injuries reported, minor property damage","Closed","E00375"
"1516","Theft","5815 S. Greenwood (Main Quad)","6/11/15 2:19 PM","6/10/15 to 6/11/15 5:00 PM to 11:00 AM","Metal ""Archway"" taken by unknown person(s) / Item later recovered / On-going investigation","Open","E00376"
"1517","Information / Robbery","Harper between 54th & 55th","6/12/15 12:00 PM","6/13/15 10:00 AM","Unknown suspect forcibly took a cell phone and eyeglasses from victim walking on the sidewalk off campus  / CPD case HY297883","CPD",""
"1518","Criminal Trespass to Land","910 E. 58th St. (Kovler Center)","6/12/15 11:09 AM","6/12/15 11:04 AM","UCPD officers arrested an individual after he ignored previous oral and written warnings not to trespass on University property","Arrest","E00377"
"1519","Lost Property","5758 S. Maryland (DCAM)","6/13/15 3:27 PM","6/11/15 1:00 PM to 2:45 PM","Visitor reports losing wallet while in DCAM","Closed","E00378"
"1520","Burglary","6031 S. Ellis (Granville-Grossman RH)","6/13/15 5:03 PM","6/13/15 8:00 AM to 4:00 PM","Unknown person(s) gained unauthorized entry to victim's room taking a bag of personal possessions","Open","E00379"
"1521","Theft","961 E. 58th St. (Bike Rack)","6/13/15 11:14 PM","6/13/15 9:00 AM to 11:00 PM","Secured bicycle taken from bike rack","Open","E00380"
"1522","Found Property","5445 S. Ingleside (Maclean House)","6/14/15 8:42 AM","6/14/15 8:00 AM","Staff member found a small package of cannabis / Turned over to UCPD for proper disposal","Closed","E00381"
"1523","Information / Disturbance","1447 E. 53rd St.","6/15/15 1:39 AM","6/15/15 1:39 AM","Disagreement over restaurant bill / Peace restored","Closed","E00382"
"1524","Information","1414 E. 59th St. (I-House)","6/15/15 3:04 AM","6/15/15 3:00 AM","Individual without accommodations required assistance / Dean-on-Call notified","Closed","E00383"
"1525","Theft","924 E. 57th St. (BSLC)","6/15/15 11:32 AM","6/15/15 11:00 AM to 11:10 AM","Unattended iPhone taken from meeting room / Phone found and returned to owner","Unfounded","E00384"
"1526","Theft","5835 S. Kimbark (Lab School Bike Rack)","6/15/15 4:46 PM","6/15/15 1:00 PM to 1:15 PM","Secured bicycle taken from bike rack","Open","E00385"
"1527","Information","6054 S. Drexel","6/16/15 2:04 PM","6/16/15 2:04 PM","Suspected fraudulent check received and inventoried","Closed","E00386"
"1528","Lost Property","5801 S. Ellis (Levi Bldg.)","6/16/15 3:09 PM","5/26/15 to 6/16/15 8:30 AM to 3:00 PM","Laptop computer missing from office","Closed","E00387"
"1529","Theft","5700 S. Maryland (CCD)","6/16/15 8:03 PM","6/16/15 5:00 PM","Unknown person took wallet from unattended purse in caf<e9> / Subsequent unauthorized use of credit card reported","Open","E00388"
"1530","Fire","6020 S, Drexel (Midway Res. Hall - exterior)","6/16/15 9:51 PM","6/16/15 9:51 PM","Fire was reported in a trash dumpster outside of and at the rear of the building / CFD responded and extinguished the fire / Cause of fire was undetermined / No injuries or property damage reported","Closed","E00389"
"1531","Theft","1100 E. 57th St. (Regenstein)","6/17/15 10:23 AM","6/17/15 10:10 AM to 10:15 AM","Unknown person cut cable securing unattended laptop to chair and took computer from 2nd floor","Open","E00390"
"1532","Burglary","1100 E. 57th St. (Regenstein)","6/17/15 10:53 AM","6/17/15 10:05 AM to 10:15 AM","Unattended, unsecured purse taken from table top on 2nd floor / Follow-up investigation resulted in the arrest of the suspect on 7/7/15","Arrest","E00391"
"1533","Lost Property","1411 E. 53rd St.","6/17/15 9:18 PM","6/17/15 1:30 PM to 2:30 PM","Keys to UC owned vehicle lost","Closed","E00392"
"1534","Information","1116 E. 59th St. (Harper Library)","6/18/15 8:45 AM","6/18/15 6:40 AM","Staff member reported elevator key is bent and will be replaced","Closed","E00393"
"1535","Information","5758 S. Maryland (DCAM)","6/18/15 8:16 AM","6/17/15 4:45 PM","Individual conveyed verbal threats through a third party","Closed","E00394"
"1536","Theft","5815 S. Maryland (Mitchell Hospital)","6/18/15 10:34 AM","6/17/15 to 6/18/15 11:00 PM to 9:00 AM","Unsecured iPhone taken from patient's room","Open","E00395"
"1537","Domestic Battery","Greenwood between 52nd & 53rd","6/18/15 10:33 AM","6/18/15 9:15 AM","Suspect struck, bit, and scratched her boyfriend / Victim declined to prosecute","Ex. Cleared","E00396"
"1538","Criminal Trespass to Land","5530 S. Ellis (Ratner A.C.)","6/18/15 1:06 PM","6/18/15 1:06 PM","Individual ignored previous verbal and written notices not to trespass on University property / Arrested by UCPD officers","Arrest","E00397"
"1539","Burglary","5414 S. Ridgewood Ct. (Neighborhood Apts.)","6/18/15 1:52 PM","6/15/15 to 6/18/15 8:00 PM to 11:00 AM","Unknown person broke lock on basement storage locker taking a TV and speaker system","Open","E00398"
"1540","Information / Criminal Sexual Abuse","1729 E. 55th St. (Public Way)","6/19/15 1:12 AM","6/19/15 1:05 AM","Victim walking on the sidewalk off campus was grabbed by an unknown suspect who fondled victim before fleeing / Victim reported no injuries / CPD case HY307057","CPD","E00399"
"1541","Theft","6027 S. Ingleside (Grad Student Apts.)","6/19/15 8:44 PM","6/19/15 1:40 PM to 8:30 PM","Laptop and currency taken from bedroom during move out","Open","E00400"
"1542","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15","No Incident Reports this date - 6/20/15"
"1543","Assist Other Agency / Aggravated Assault","6100 S. Evans (Public Way)","6/21/15 3:50 PM","6/21/15 3:50 PM","Suspect fired multiple shots from a handgun at a group of people standing on the corner off campus outside of UCPD patrol area / UCPD officer located and detained suspect at 6132 S. Ingleside / Weapon recovered / Suspect turned over to CPD and taken into custody / No reports of injuries / CPD case HY310321","CPD / Arrest","E00401"
"1544","Assault","950 E. 59th St. (Billings Cafeteria)","6/22/15 2:46 PM","6/22/15 1:30 PM","After calling attention to two subjects leaving cafeteria without paying for food, victim was threatened by one suspect","Open","E00402"
"1545","Non-Criminal Damage to Property","5700 S. Maryland (CCD)","6/22/15 2:38 PM","6/22/15 2:15 PM","Inner pane of 18 ft. double pane window in 7th floor lobby shattered / No injuries reported / Cause unknown at this time","Closed","E00403"
"1546","Information","6031 S. Ellis (Granville-Grossman RH)","6/22/15 8:31 PM","6/22/15 12:45 PM to 8:20 PM","Mirror in resident's room was broken / Cause unknown","Closed","E00404"
"1547","Information / Robbery","1009 E. 53rd St. (Public Way)","6/22/15 11:12 PM","6/22/15 11:10 PM","Victim walking off campus was approached by three unknown suspects who took victim's book bag, iPhone and wallet before fleeing southbound on Ellis / Victim reported no injuries / CPD case","CPD","E00405"
"1548","Injured Person","1155 E. 60th St. (Harris School)","6/23/15 9:48 AM","6/23/15 8:45 AM","Individual fell while walking on stairs to Harris School causing pain to left knee / Transported to Occupational Medicine for evaluation and treatment","Closed","E00406"
"1549","Theft","5758 S. Maryland (DCAM)","6/23/15 12:16 PM","6/23/15 9:00 AM to 11:00 AM","Cash taken from unsecured console in vehicle left  in custody of valet service","Open","E00407"
"1550","Non-Criminal Fire","5840 S. Maryland (Parking Structure)","6/24/15 8:52 PM","6/24/15 8:50 PM","Fire in over-head electrical fixture on 3rd floor melted plastic fixture that fell onto the hood and quarter panel of a vehicle parked below / Fire extinguished by Public Safety Officer / Property damage only / No reported injuries","Closed","E00408"
"1551","Information / Robbery","5327 S. Dorchester (Public Way)","6/24/15 10:10 PM","6/24/15 10:10 PM","Unknown suspect took cash from a victim walking on the sidewalk / CPD case","CPD",""
"1552","Damage to Property","1150 E. 58th St. (Saieh Hall)","6/25/15 11:04 AM","6/25/15 11:00 AM","2' x 3' window on 2nd floor broken / Cause unknown at this time","Closed","E00409"
"1553","Lost Property","5815 S. Maryland (Mitchell Hospital)","6/25/15 1:18 PM","6/17/15 2:00 AM to 3:00 AM","Patient reports wallet lost from his pants pocket as he was transported to various locations in the hospital","Closed","E00410"
"1554","Lost Property","5225 S. Cottage Grove (Facilities Services)","6/25/15 2:30 PM","6/2/15 to 6/25/15 5:00 PM to 11:00 AM","Spool of electrical power cable taken from 2nd floor storage cage / Follow up investigation revealed no theft occurred / Property lost, unaccounted for","Closed","E00411"
"1555","Information / Robbery","5658 S. Blackstone (Public Way)","6/25/15 11:20 PM","6/25/15 11:15 PM","Unknown suspect took purse from victim walking on the sidewalk off campus / No injuries reported / CPD case","CPD",""
"1556","Information","5545 S. Woodlawn","6/26/15 1:22 AM","6/26/15 1:22 AM","Individual seen pulling on doors of vehicles parked on the street / Fled upon seeing UCPD / Detained and released","Closed","E00412"
"1557","Medical Call","5811 S. Ellis (Cobb Hall)","6/26/15 8:26 AM","6/26/15 8:26 AM","Individual suffered a seizure / Transported to Student Health for evaluation and treatment","Closed","E00413"
"1558","Lost Property","Between 915 E. 60th St. & 6031 S. Ellis","6/27/15 6:26 AM","6/26/15 3:00 PM to 6:00 PM","Individual reported losing a canvas bag containing wallet","Closed","E00414"
"1559","Information / Aggravated Robbery","5600 S. Harper (Public Way)","6/27/15 10:38 PM","6/27/15 10:30 PM","Two unknown suspects, implying a weapon, took property from four victims sitting on a bench on the public way off campus / No weapon seen / Victims reported no injuries / Suspects fled in a waiting vehicle / CPD case","CPD",""
"1560","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15","No Incident Reports this date - 6/28/15"
"1561","Theft","5815 S. Maryland (Mitchell Hospital Gift Shop)","6/29/15 8:43 AM","6/29/15 8:15 AM","Individual took items of merchandise from the gift shop without paying / Detained by UCM Public Safety and arrested by UCPD","Arrest","E00415"
"1562","Theft","1362 E. 59th St. (Lab School Bike Rack)","6/29/15 11:38 AM","6/26/15 to 6/29/15 3:00 PM to 8:20 AM","Secured bicycle taken from bike rack","Open","E00416"
"1563","Burglary","1100 E. 57th St. (Regenstein Library)","6/29/15 12:16 PM","6/29/15 11:50 AM to 12:00 PM","Unattended, unsecured laptop computer taken from table on 3rd floor / Follow-up investigation resulted in the arrest of the suspect on 7/7/15","Arrest","E00417"
"1564","Information / Criminal Sexual Assault","5639 S. University (Fraternity House)","6/29/15 5:25 PM","6/23/15 11:45 PM","Victim reported she was sexually assaulted by an acquaintance while visiting in his room at an off-campus fraternity house. Chicago police are investigating. CPD case HY321112.","CPD","E00418"
"1565","Information / Robbery","52nd between Ellis & Greenwood","6/29/15 9:40 PM","6/29/15 9:30 PM","Victim was about to enter parked vehicle on the street off campus when approached by two unknown suspects who forcibly took victim's property / Victim reported no injuries / CPD case","CPD",""
"1566","Information / Burglary","Ellis between 54th & 55th","6/30/15 7:29 PM","6/30/15 3:00 PM to 7:00 PM","Unknown person(s) gained entry to off campus private apartment via rear door taking property therefrom / CPD case HY 322607","CPD",""
"1567","Theft","5700 S. Drexel","7/1/15 2:06 PM","7/1/15 9:00 AM to 1:30 PM","Cell phone left unattended and unsecured taken from vehicle left in custody of valet service","Open","E00419"
"1568","Lost Property","5841 S. Maryland (UCM)","7/1/15 5:17 PM","6/29/15 6:00 PM to 6:30 PM","Staff member reported losing iPhone","Closed","E00420"
"1569","Information / Attempt Burglary","Harper between 57th & 58th","7/1/15 6:37 PM","7/1/15 6:37 PM","Unknown person(s) forced front door to an off campus private apartment in an attempt to gain entry / CPD case","CPD",""
"1570","Lost Property","Between 1100 E. 57th St. to 5801 S. Ellis","7/2/15 12:09 PM","7/2/15 10:30 AM to 11:30 AM","Individual lost wallet while walking on campus","Closed","E00421"
"1571","Theft","950 E. 59th St. (UMC)","7/2/15 9:57 AM","6/25/15 to 7/1/15 11:00 AM to 3:10 PM","Physician's prescription pad taken from office by unknown person","Open","E00422"
"1572","Void","Void","Void","Void","Number generated for test purposes","Void","E00423"
"1573","Information / Robbery","54th at Woodlawn","7/2/15 10:16 PM","7/2/15 10:05 PM","Unknown suspect forcibly took shoulder bag from victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY325404","CPD",""
"1574","Information","6000 S. Ellis (Public Way)","7/3/15 8:15 PM","7/3/15 8:15 PM","Complainant reported being touched on the buttocks by a person passing by on the sidewalk / Suspect claimed the touching was accidental / Complainant refused to press charges","Closed","E00424"
"1575","Information / Aggravated Robbery","Woodlawn between 54th & 55th","7/3/15 10:23 PM","7/3/15 9:40 PM","Two suspects implying a weapon took property from two victims entering the vestibule of a private residence off campus / No weapon displayed / No injuries reported / CPD case HY326574","CPD",""
"1576","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15","No Incident Reports this date - 7/4/15"
"1577","Information / Weapon Turn-In","901 E. 58th St. (Mitchell ER)","7/5/15 1:16 AM","7/5/15 1:16 AM","Private ambulance crew found knife on patient brought into ER for treatment / Weapon turned over to UCPD and inventoried","Closed","E00425"
"1578","Information / Aggravated Robbery","5215 S. Woodlawn (Elm Park)","7/5/15 4:45 PM","7/5/15 4:45 PM","An unknown suspect implied a weapon and took a wallet and cell phone from a victim in a park off campus / No weapon seen / Victim reported no injury / CPD report","CPD",""
"1579","Information / Burglary / Home Invasion","Harper between 56th & 57th","7/5/15 10:05 PM","7/5/15 9:55 PM","Two unknown suspects entered private residence off campus via basement door / Confronted residents while armed with a handgun / Suspects took victim's property before fleeing / CPD case HY329175","CPD",""
"1580","Information / Missing Property","901 E. 58th St. (Mitchell ER)","7/6/15 1:07 PM","6/26/15 to 7/5/15","Items of patient's property reported missing","Closed","E00426"
"1581","Non-Criminal / Fire","5720 S. Woodlawn (Exterior)","7/6/15 3:09 PM","7/6/15 3:09 PM","Trash smoldering in dumpster at rear of building extinguished by CFD / No property damage or personal injuries reported / Cause undetermined","Closed","E00427"
"1582","Criminal Trespass to Property","1100 E. 57th St. (Regenstein Library)","7/7/15 9:29 AM","7/7/15 9:23 AM","UCPD investigators arrested an unauthorized individual for trespass to the library / Subsequent to follow up investigation subject was charged with three counts of burglary for previous thefts of property from the library","Arrest","E00428"
"1583","Theft","5700 S. Maryland (CCD Caf<e9>)","7/7/15 2:18 PM","7/6/15 4:05 PM to 7:30 PM","Staff member reported lost wallet / Follow up investigation revealed the victim's wallet was taken by an unidentified suspect / Investigation continues / As a result of follow-up investigation a suspect was identified, arrested by UCPD and charged with theft on 7/14/15","Arrest","E00429"
"1584","Found Property","5815 S. Maryland (UCM Starbucks Café)","7/8/15 11:31 AM","7/8/15 11:31 AM","Unattended book bag found in Starbucks Café / Turned over to UCPD and inventoried for safekeeping","Closed","E00430"
"1585","Theft","5530 S. Ellis (Ratner A.C.)","7/8/15 12:20 PM","7/1/15 to 7/7/15 10:00 PM to 8:00 PM","Unicycle taken from locker in locker room","Open","E00431"
"1586","Information / Armed Robbery","6300 S. Blackstone (Public Way)","7/8/15 2:21 PM","7/8/15 2:15 PM","Unknown suspect, armed with a handgun, took property from a victim walking on the sidewalk off campus / Victim reported no injuries / CPD case HY332611","CPD",""
"1587","Information / Robbery","5238 S. Harper (Public Way)","7/9/15 1:15 AM","7/9/15 12:50 AM","Two unknown suspects forcibly took a cell phone from a victim walking on the sidewalk off campus / CPD case","CPD",""
"1588","Theft","5848 S. University (Beecher Hall)","7/9/15 3:51 PM","7/2/15 to 7/6/15 6:00 PM to 9:00 AM","Cash taken from desk drawer in 2nd floor office","Open","E00432"
"1589","Theft","1414 E. 59th St. (I-House Bike Rack)","7/9/15 5:19 PM","7/9/15 7:15 AM to 4:45 PM","Secured bicycle taken from bike rack","Open","E00433"
"1590","Information / Armed Robbery","Drexel between 53rd & 54th","7/9/15 9:23 PM","7/9/15 9:20 PM","Two unknown suspects, one armed with a handgun, took property from a victim on the porch of a private residence off campus / Victim reported no injuries / CPD case HY334440","CPD",""
"1591","Theft","5815 S. Maryland (Mitchell Hospital)","7/10/15 8:27 AM","7/9/15 to 7/10/15 5:30 PM to 8:30 AM","Unattended, unsecured bag containing a computer keyboard taken from under desk in work area","Open","E00435"
"1592","Traffic Crash / Property Damage","5656 S. Maryland (Parking Facility)","7/10/15 1:59 PM","7/10/15 12:10 PM","UC owned vehicle damaged in single vehicle accident / Property damage only / No injuries reported","Closed","E00436"
"1593","Criminal Damage to Property","5840 S. Kenwood (Lab School)","7/10/15 5:17 PM","7/8/15 to 7/10/15 9:00 AM to 9:00 AM","Graffiti scrawled on walls of men's and women's restrooms in cafeteria","Open","E00437"
"1594","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15","No Incident Reports this date - 7/11/15"
"1595","Information","5400 S. Blackstone (Public Way)","7/12/15 4:42 AM","7/12/15 4:42 AM","UCPD officer observed two suspects pulling on doors of cars parked on the street / Upon further investigation, one suspect had in his possession a cell phone that was not his property / Individuals turned over to parent / Cell phone inventoried for safekeeping","Closed","E00438"
"1596","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15","No Incident Reports this date - 7/13/15"
"1597","Theft","6045 S. Kenwood (Toyota Tech Parking Lot)","7/14/15 2:30 PM","7/9/15 9:00 AM","Victim placed laptop computer on roof of vehicle in parking lot / Unknown person took computer","Open","E00439"
"1598","Theft","5735 S. Ellis (Searle Lab)","7/14/15 2:38 PM","7/14/15 2:00 PM to 2:35 PM","Unattended laptop computer taken from desk top in unsecured reception office","Open","E00440"
"1599","Theft","5848 S. University (Kelly Hall)","7/14/15 2:50 PM","7/14/15 1:30 PM to 2:15 PM","Unattended cell phone taken from desk top in unsecured office","Open","E00441"
"1600","Theft","1155 E. 57th St. (Quadrangle Club)","7/14/15 6:22 PM","7/13/15 to 7/14/15 12:00 PM to 5:00 PM","Eight 2'x4' wood and steel panels (stage) taken from the rear property of the club","Open","E00442"
"1601","Information / Aggravated Battery","5152 S. Drexel (Public Way)","7/14/15 7:50 PM","7/14/15 7:50 PM","Individual sitting in vehicle parked on the street off campus suffered a gunshot wound to the shoulder when shots were fired by an unknown suspect from a passing car / CPD case","CPD",""
"1602","Lost Property","1111 E. 60th St. (Law School)","7/15/15 9:35 AM","7/14/15 1:00 PM to 2:00 PM","Staff member reports losing wallet","Closed","E00443"
"1603","Non-Criminal Damage to Property","915 E. 60th St. (Logan Center)","7/15/15 10:44 AM","7/14/15 to 7/15/15 9:00 AM to 10:40 AM","Report of scratch marks on elevator wall / Cause unknown","Closed","E00444"
"1604","Information / Attempt Burglary","Ellis between 54th & 55th","7/16/15 8:16 AM","7/16/15 7:50 AM","Unknown suspect attempted to gain entry to off campus private apartment via an unlocked window / Suspect fled when confronted by resident / CPD case HY342697","CPD",""
"1605","Void","Void","Void","Void","Number generated in error","Void","E00445"
"1606","Injured Person","1118 E. 58th St. (Quad)","7/16/15 4:13 PM","7/16/15 1:00 PM","Individual injured right ankle while playing football in the Quad / Refused medical","Closed","E00446"
"1607","Non Criminal / Fire","900 E. 57th St. (Knapp Center)","7/17/15 2:06 AM","7/17/15 2:05 AM","A vacuum pump in the north penthouse maintenance room malfunctioned and burned / no property other than the pump was damaged / No injuries / CFD responded","Closed","E00447"
"1608","Lost Property","970 E. 58th St. (Bookstore)","7/17/15 2:13 PM","7/17/15 9:00 AM to 10:00 AM","Unattended iPhone taken from table in bookstore / Follow-up investigation revealed the owner could not recall possessing the phone while in the bookstore / Reclassified as lost property","Closed","E00448"
"1609","Found Property","1212 E. 59th St. (Public Way)","7/17/15 2:16 PM","7/7/15 9:30 PM","Ring with clear stone setting found on the sidewalk turned over to UCPD and inventoried for safekeeping","Closed","E00449"
"1610","Information / Disturbance","5807 S. Woodlawn (Booth School)","7/17/15 6:57 PM","7/17/15 6:57 PM","Unauthorized subject entered the building a created a disturbance / Peace restored upon arrival of UCPD officers / Subject warned of trespassing and sent on his way","Closed","E00450"
"1611","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15","No Incident Reports this date - 7/18/15"
