"","Incident","Location.Address","Location.Name","Date","Time","Comments...Nature.of.Fire","Disposition","UCPDI.","Occured Start Date","Occured End Date","Occured Start Time","Occured End Time"
"1540","Lost Property","5815 S. Maryland ","Mitchell Hospital","8/2/15","06:47","Individual reported losing cell phone while a patient in the hospital","Closed","E00477","7/24/15",NA,"12:00","14:00"
"1541","Assist Other Agency / Robbery","5300 S. Greenwood",NA,"8/2/15","21:23","A suspect riding a bicycle off campus pushed victim to the ground, took cell phone and fled / UCPD officers detained suspect and recovered the victim's phone / Suspect turned over to CPD and charged with robbery / CPD case HY366595","CPD","E00478","8/2/15",NA,"21:23",NA
"1542","Lost Property","Unknown",NA,"8/3/15","11:09","Individual reported loss of wallet at unknown location over an extended period of time","Closed","E00479","7/17/15","7/28/15","12:00","09:00"
"1543","Theft","5835 S. Cottage Grove ","Hospital Shipping/Receiving Dock","8/3/15","12:36","A package containing an ultrasound probe taken from secured shipping dock / Package located / No theft occurred","Unfounded","E00480","7/17/15","7/22/15","08:50","13:00"
"1544","Theft","5840 S. Kenwood ","Construction Site","8/3/15","14:19","Unknown person(s) took welding machine and copper cables from construction site","Open","E00481","8/1/15","8/3/15","17:30","13:30"
"1545","Information","5700 S. Maryland ","CCD Starbucks Caf<e9>","8/3/15","15:19","Individual attempted to pay for item with a counterfeit $100 bill / Suspect fled before police were called / Bill inventoried","Closed","E00482","8/3/15",NA,"15:10",NA
"1546","Found Property","1111 E. 60th St. ","Public Way","8/3/15","17:15","Individual found yellow metal ring with clear stone / Turned over to UCPD for safekeeping","Closed","E00484","8/2/15",NA,"16:50",NA
"1547","Theft","5530 S. Ellis ","Ratner A.C.","8/3/15","16:56","Three T-shirts and a pair of gym shoes taken from unsecured locker in men's locker room","Open","E00483","7/28/15","8/3/15","17:00","16:30"
"1548","Theft","5720 S. Ellis ","Kersten Center Bike Rack","8/5/15","10:03","Bicycle taken from bike rack","Open","E00485","8/4/15",NA,"08:00","16:00"
"1549","Theft from Person","5758 S. Maryland ","DCAM","8/5/15","14:23","While on an elevator an unknown suspect took wallet from victim's purse while a second suspect distracted victim","Open","E00486","8/5/15",NA,"14:10",NA
"1550","Found Property","5815 S. Maryland ","Mitchell Hospital","8/6/15","16:39","After patient left hospital, staff found 5 syringes and a drug pipe / All items disposed of properly by UCPD","Closed","E00487","8/6/15",NA,"16:10",NA
"1551","Unlawful Use of Weapon","5300 S. Harper ","Public Way","8/7/15","00:36","UCPD officers responded to a call of a man with a handgun on the street off campus / Officers located the suspect who fled on foot / Suspect taken into custody by UCPD / Weapon recovered / Suspect charged with felony UUW","Arrest","E00488","8/7/15",NA,"00:36",NA
"1552","Motor Vehicle Theft","1317 E. Madison Park",NA,"8/7/15","17:52","Vehicle parked on the street off campus taken by person(s) unknown","Open","E00489","8/6/15","8/7/15","20:00","17:30"
"1553","Theft","1100 E. 57th St. ","Regenstein Library Bike Rack","8/7/15","18:49","Bicycle seat taken from bicycle secured to bike rack","Open","E00490","8/7/15",NA,"08:45","18:00"
"1554","Theft","5812 S. Ellis ","Surgery Brain Research Bike Rack","8/7/15","19:54","Secured bicycle taken from bike rack","Open","E00491","8/7/15",NA,"10:30","18:40"
"1555","Information / Aggravated Battery","Drexel between 53rd & 54th ","Public Way","8/7/15","23:07","Individual not affiliated with the University suffered a gunshot wound to the right arm as a result of a drive by shooting off campus / Transported to ER by CFD EMS / CPD case","CPD","","8/7/15",NA,"23:05",NA
"1556","Theft","5700 S. Maryland ","CCD","8/9/15","19:31","Cash and credit card taken from purse left on hook in secured staff breakroom / Unauthorized use of credit card reported","Open","E00492","8/9/15",NA,"06:45","19:15"
"1557","Theft","1100 E. 61st St. ","Construction Site","8/10/15","06:56","Unknown person(s) cut hole in fence, entered construction site and took a variety of construction tools from a secured trailer","Open","E00493","8/6/15","8/10/15","17:15","06:30"
"1558","Motor Vehicle Theft","6025 S. Ellis",NA,"8/10/15","10:42","Six-seat golf cart taken from area in front of Cathey Dining Hall / UCPD officers arrested suspect in possession of cart at 1210 E. 62nd St. on 8/25/15 / Charged with Possession of Stolen Motor Vehicle","Arrest","E00494","8/8/15","8/10/15","09:00","11:00"
"1559","Information / Armed Robbery","Hyde Park between 52nd and 53rd",NA,"8/11/15","01:00","Three unknown suspects, one armed with a handgun, took property from two victims standing on the sidewalk off campus / No injuries reported / CPD case HY377516","CPD","","8/11/15",NA,"00:45",NA
"1560","Lost Property","5835 S. Kimbark ","Lab School","8/11/15","08:28","Individual reports losing UC ID","Closed","E00495","7/31/15","8/11/15","16:30","08:25"
"1561","Theft","915 E. 60th St. ","Logan Center","8/11/15","12:10","A pair of head phones taken from exhibit on the 2nd floor / Staff located the headphones that had been moved to another location within the building / No crime occurred","Unfounded","E00496","8/10/15","8/11/15","17:15","10:45"
"1562","Non-Criminal Damage to Property","5757 S. University ","Saieh Hall","8/12/15","14:15","Interior glass door in lobby shattered as individual opened door / No injury reported","Closed","E00498","8/12/15",NA,"14:05",NA
"1563","Information","5815 S. Maryland ","Mitchell Hospital","8/12/15","13:41","Narcotics paraphernalia found in patient's room / Items inventoried by UCPD for proper disposal","Closed","E00499","8/12/15",NA,"13:40",NA
"1564","Information /Harassment by Telephone","6000 S. Drexel",NA,"8/12/15","16:53","Individual reports receipt of harassing text messages on various dates and times","Closed","E00501","6/30/15","8/12/15",NA,NA
"1565","Theft","5530 S. Ellis ","Ratner Bike Rack","8/12/15","22:13","Rear wheel taken from bicycle secured to bike rack","Open","E00502","8/11/15","8/12/15","20:00","20:30"
"1566","Found Property","1550 E. 53rd St.","Public Way","8/13/15","17:10","Found wallet turned over to UCPD and inventoried for safekeeping","Closed","E00503","8/13/15",NA,"17:10",NA
"1567","Theft","901 E. 58th St. ","Mitchell ER","8/13/15","20:04","Unattended, unsecured laptop taken from bag in triage area","Open","E00504","8/13/15",NA,"18:30","19:30"
"1568","Theft","900 E. 57th St. ","Knapp Center Bike Rack","8/14/15","12:23","Secured bicycle taken from bike rack","Open","E00505","8/13/15",NA,"10:00","18:45"
"1569","Information / Aggravated Battery","Kimbark between 61st and 62nd",NA,"8/14/15","19:32","Three victims, not affiliated with the University, wounded during a drive by shooting off campus / Transported to hospitals by CFD EMS / CPD case","CPD","","8/14/15",NA,"19:30",NA
"1570","Theft","5530 S. Ellis ","Ratner A.C.","8/15/15","16:59","Wallet, cell phone, and keys taken from unattended, unsecured bag left on a bench near the swimming pool","Open","E00506","8/15/15",NA,"16:20","16:40"
"1571","Information / Burglary / Home Invasion","Cornell between 54th & 55th",NA,"8/15/15","23:58","Two unknown suspects entered off-campus private apartment via unsecured rear door while occupants were at home / Suspects took cell phones and a laptop computer / Victim confronted suspect and was struck  / CPD case HY384122","CPD","","8/15/15",NA,"23:30",NA
"1572","Theft","5837 S. Maryland ","Wyler Bike Rack","8/16/15","07:35","Unsecured bicycle taken from bike rack","Open","E00507","8/16/15",NA,"06:55","07:05"
"1573","Theft","5730 S. Ellis ","Crerar Bike Rack","8/16/15","21:58","Secured bicycle taken from bike rack","Open","E00508","8/16/15",NA,"19:00","21:55"
"1574","Theft","1370 E. 59th St. ","Lab School Playground","8/18/15","12:57","Two unattended, unsecured children's scooters taken from playground / As a result of the follow-up investigation, two suspects were positively identified but the complainant declined to prosecute","Ex. Cleared","E00509","8/18/15",NA,"11:40","12:30"
"1575","Theft","5640 S. University ","Bartlett Loading Dock","8/19/15","15:01","A 4'x4'x6' skillet taken from loading dock / Suspect arrested by UCPD officers on 8/27/15 and charged with felony theft","Arrest","E00510","8/19/15",NA,"13:30","14:30"
"1576","Lost Property","5815 S. Maryland ","Mitchell Hospital","8/19/15","15:07","Patient's purse misplaced while being transported from one room to another in the hospital","Closed","E00511","8/17/15",NA,"19:20","19:40"
"1577","Theft","947 E. 58th St. ","Abbot Hall","8/19/15","16:00","Credit card, cash, and ID taken from pocket of unattended jacket hanging on office door","Open","E00512","8/19/15",NA,"13:00","14:00"
"1578","Information","5815 S. Maryland ","Mitchell Hospital","8/20/15","17:21","Information relating to domestic complaint that occurred outside of UCPD jurisdiction / CPD investigation HY375121","CPD","E00513","8/20/15",NA,"17:21",NA
"1579","Robbery","5110 S. Kenwood ","Neighborhood Apts,","8/20/15","21:38","Unknown suspect followed victim into off-campus apartment building and took victim's credit cards and cash before fleeing on foot / Victim reported no injuries","Open","E00514","8/20/15",NA,"21:30",NA
"1580","Information / Robbery","Ingleside between 54th & 55th",NA,"8/20/15","22:11","Unknown suspect approached victim walking towards off-campus private apartment building / Suspect took victim's book bag, iPhone, and cash before fleeing on victim's bicycle / Victim reported no injuries / CPD case","CPD","","8/20/15",NA,"22:00",NA
"1581","Information","5530 S. Ellis ","Ratner A.C.","8/21/15","02:26","Contract supervisor reported an employee made veiled threats after being disciplined","Closed","E00515","8/21/15",NA,"00:00",NA
"1582","Non-Criminal / Fire","1155 E. 58th St. ","Oriental Museum","8/21/15","09:49","Staff member reported smell of electrical fire / CFD and UC Facilities personnel discovered source of smell was a burned-out florescent ceiling fixture / No injuries or property damage reported","Closed","E00516","8/21/15",NA,"09:45",NA
"1583","Found Narcotics","5815 S. Maryland ","Mitchell Hospital","8/22/15","07:45","Staff member found package of suspect narcotics in patient's room / Turned over to UCPD for proper disposal","Closed","E00517","8/22/15",NA,"07:30",NA
"1584","Theft","1314 E. Hyde Park ","Neighborhood Apts.","8/22/15","14:25","Unsecured, unattended bicycle taken from hallway of off-campus apartment building","Open","E00518","8/21/15","8/22/15","21:30","10:30"
"1585","Information","5840 S. Maryland ","Parking Structure","8/22/15","19:38","Scuff mark found on driver's side front and rear doors of parked vehicle / No dents or scratches observed","Closed","E00519","8/22/15",NA,"06:30","19:35"
"1586","Found Property","5800 S. University",NA,"8/24/15","14:07","Digital camera found / Turned over to UCPD for safekeeping","Closed","E00520","8/24/15",NA,"13:00",NA
"1587","Theft","5720 S. Ellis ","Kersten Center Bike Rack","8/24/15","15:13","Secured bicycle taken from bike rack","Open","E00521","8/24/15",NA,"07:45","15:00"
"1588","Lost Property","54th & Woodlawn and 5530 S. Ellis",NA,"8/24/15","19:05","Individual lost wallet while walking from 54th & Woodlawn to 5530 S. Ellis","Closed","E00522","8/24/15",NA,"18:45",NA
"1589","Information / Traffic Accident","Dan Ryan Exp. at 83rd St..",NA,"8/25/15","08:31","UC owned vehicle stopped in traffic rear ended by another vehicle / Drivers transported to hospitals for evaluation and treatment / Illinois State Police case","ISP","E00523","8/25/15",NA,"07:55",NA
"1590","Information / Homicide","5000 S. Dorchester",NA,"8/25/15","18:00","Individual, not affiliated with the University, sitting in a parked car off-campus suffered a fatal gunshot wound to the chest when shots were fired from a vehicle that pulled up next to the victim's car / CPD case","CPD","","8/25/15",NA,"18:00",NA
"1591","Injured Person","5848 S. University ","Green Hall","8/26/15","09:29","Staff member pushing a cart down a ramp, tripped and fell to the floor / Complained of pain in back and legs / Transported to ER by CFD EMS","Closed","E00525","8/26/15",NA,"09:29",NA
"1592","Theft","5758 S. Maryland ","DCAM","8/26/15","15:34","Wallet taken from unattended purse left on chair in cafeteria / Subsequent unauthorized use of credit card reported","Open","E00526","8/26/15",NA,"13:30","14:30"
"1593","Information","5300 S. Dorchester ","Public Way","8/26/15","23:44","Suspicious letter received from an unknown person / Inventoried by UCPD","Closed","E00527","8/26/15",NA,"23:40",NA
"1594","Information / Unlawful Possession of a Weapon","Ellis between 54th & 55th",NA,"8/26/15","23:45","CPD officers arrested a suspect for illegal possession of a firearm / CPD case HY398914","CPD","","8/26/15",NA,"23:45",NA
"1595","Information / Theft from Person","56th & Lake Park ","Public Way","8/27/15","16:22","Suspect riding a bicycle snatched iPhone from the hand of victim walking on the sidewalk off-campus / CPD officers located and arrested suspect / Victim's phone recovered / CPD case","CPD","","8/27/15",NA,"16:20",NA
"1596","Theft","970 E. 58th St. ","Bookstore","8/28/15","12:55","Suspect took items of merchandise from the bookstore without paying / Detained by UCPD officers / Victim refused to prosecute","Ex. Cleared","E00528","8/28/15",NA,"12:55",NA
"1597","Information / Robbery","54th between Greenwood & University",NA,"8/28/15","20:45","Two suspects took property from a victim walking on the sidewalk off-campus / Victim reported no injuries/ CPD officers arrested suspects at 55th & King Dr. / CPD case","CPD","","8/28/15",NA,"20:40",NA
"1598","Information / Robbery","University between 52nd & 53rd",NA,"8/28/15","20:55","Two suspects took property from a victim walking on the sidewalk off-campus / Victim reported no injuries/ CPD officers arrested suspects at 55th & King Dr. / CPD case","CPD","","8/28/15",NA,"20:55",NA
"1599","Information","5730 S. Drexel ","Comer Hospital","8/30/15","02:31","Loud domestic dispute / Peace restored","Closed","E00529","8/30/15",NA,"02:25",NA
"1600","Domestic Battery","5730 S. Drexel ","Comer Hospital","8/31/15","12:20","During the course of a verbal argument, boyfriend struck girlfriend in the face with his fist / Suspect arrested by UCPD officers","Arrest","E00530","8/31/15",NA,"12:15",NA
"1601","Theft","1029 E. 57th St. ","Anatomy Bike Rack","8/31/15","16:42","Secured bicycle taken from bike rack","Open","E00531","8/31/15",NA,"09:30","16:40"
"1602","Theft","1126 E. 59th St. ","Social Science Research Bike Rack","8/31/15","17:02","Secured bicycle taken from bike rack","Open","E00532","8/31/15",NA,"12:30","16:45"
"1603","Theft","900 E.  57th St. ","Knapp Center Bike Rack","8/31/15","17:20","Secured bicycle taken from bike rack","Open","E00533","8/31/15",NA,"09:00","17:10"
"1604","Theft","5530 S. Ellis ","Ratner A.C.","8/31/15","17:47","Wallet taken from bag left in unsecured locker in women's varsity locker room / Wallet was later found in the locker / No crime - Unfounded","Unfounded","E00534","8/31/15",NA,"15:45","17:45"
"1605","Information/ Homicide","4900 S. Drexel ","Public Way","8/31/15","20:28","Victim, not affiliated with the University, suffered multiple gunshot wounds when shots were fired in an apparent drive-by shooting  off-campus/ Victim transported to the hospital by CFD EMS / CPD case HY405177","CPD","","8/31/15",NA,"20:28",NA
"1606","Domestic Battery","5500 S. Ellis ","Public Way","9/1/15","01:18","During the course of a verbal argument, boyfriend punched and choked girlfriend / Suspect arrested by UCPD","Arrest","E00535","9/1/15",NA,"01:15",NA
"1607","Injured Person","920 E. 58th St. ","Cummings","9/1/15","10:31","Delivery truck driver fell from rear lift gate of truck landing on the pavement / Transported to ER for evaluation and treatment","Closed","E00536","9/1/15",NA,"10:30",NA
"1608","Non-Criminal Damage to Property","5800 S. Stony Island ","Shapiro Hall","9/1/15","12:27","A 58* x 58"" window damaged / Cause unknown at this time","Closed","E00537","8/21/15","8/24/15","13:00","09:00"
"1609","Lost Property","5815 S. Maryland ","Mitchell Hospital","9/2/15","12:22","Visitor lost wallet while in the hospital","Closed","E00538","8/21/15","8/22/15","17:00","07:30"
"1610","Theft","5700 S. Maryland ","CCD","9/2/15","12:21","Cash taken from unattended, unsecured bag left in patient's room","Open","E00539","9/2/15",NA,"10:30","10:50"
"1611","Information / Attempt Robbery","54th Pl. between University and Woodlawn",NA,"9/2/15","17:45","Unknown suspect followed victim into the vestibule of a private apartment building off-campus and attempted to forcibly take victim's purse / Victim resisted and suspect fled without property / Victim reported no injuries / CPD case","CPD","","9/2/15",NA,"17:45",NA
"1612","Information / Burglary","Greenwood between 53rd & 54th",NA,"9/2/15","18:30","Unknown person(s) entered off-campus private apartment via unsecured door and took property while the resident was away from home / CPD case","CPD","","9/2/15",NA,"10:00","18:15"
"1613","Theft","5700 S. Maryland ","CCD","9/4/15","16:01","Laptop computer taken from unattended, unsecured back pack left on floor of OR9","Open","E00540","8/26/15",NA,"14:00","18:00"
"1614","Theft","901 E. 58th St. ","Mitchell ER","9/5/15","11:38","Unsecured, unattended shoulder bag containing wallet taken from counter in patient treatment area of ER / Subsequent unauthorized use of credit card reported","Open","E00541","9/5/15",NA,"10:15","11:35"
"1615","Injured Person","1355 E. 53rd St. ","Public Way","9/5/15","22:32","Staff member riding a bicycle was struck by another cyclist and fell to the pavement  / Victim treated and released from ER","Closed","E00542","9/5/15",NA,"22:32",NA
"1616","Information / Aggravated Robbery","5400 S. University ","Public Way","9/6/15","00:10","Four unknown suspects, one displaying what appeared to be a replica handgun, took property from 3 victim's walking off-campus / No injuries reported / CPD case HY412213","CPD","","9/6/15",NA,"00:05",NA
"1617","Information / Homicide","6129 S. Cottage Grove",NA,"9/6/15","02:00","Victim, not affiliated with the University, was fatally shot while attending a party off-campus / CPD case","CPD","","9/6/15",NA,"02:00",NA
"1618","Recovered Motor Vehicle","820 E. 56th St.",NA,"9/6/15","08:07","UCPD officer recovered an unoccupied, parked vehicle that had been previously been reported stolen to CPD / CPD case HY405276","CPD","E00543","9/6/15",NA,"08:07",NA
"1619","Information / Criminal Sexual Abuse","5700 S. Maryland ","CCD","9/6/15","09:58","Victim reported being sexually fondled / CPD case HY412617","CPD","E00544","9/4/15",NA,"12:00","15:00"
"1620","Theft","5050 S. Lake Shore Dr.",NA,"9/7/15","16:46","Individual sold and shipped computer to subject in Nigeria via Market Place website / Promised payment not forthcoming","Open","E00545","8/30/15","9/7/15","15:55","16:45"
"1621","Information","5747 S. Ellis ","Jones Lab","9/7/15","17:05","Water overflowed from faulty emergency shower in  room 401","Closed","E00546","9/7/15",NA,"17:05",NA
"1622","Injured Person","5640 S. University ","Bartlett","9/8/15","17:01","A contract employee suffered an injury to the left foot when an item fell from a cart being pushed by another employee and struck victim on the left foot / Transported to ER by CFD EMS for evaluation and treatment","Closed","E00547","9/8/15",NA,"16:45",NA
"1623","Battery","5815 S. Maryland ","Mitchell Hospital","9/9/15","07:37","During an argument in a locker room, one staff member pushed another / Suspect left before police arrived / Victim refused to prosecute the known offender / Exceptionally Cleared and Closed","Ex. Cleared","E00548","9/9/15",NA,"07:30",NA
"1624","Theft","5838 S. Kenwood ","Lab School Bike Rack","9/9/15","16:04","Secured bicycle taken from bike rack","Open","E00549","9/9/15",NA,"07:45","15:30"
"1625","Information / Damage to Vehicle","5850 S. Woodlawn ","Rockefeller Chapel","9/10/15","00:25","UC owned vehicle made contact with concrete archway support base in driveway / Minor paint damage to vehicle / No damage to support base","Closed","E00550","9/10/15",NA,"00:01",NA
"1626","Non-Criminal Damage to Property","5656 S. Maryland ","Parking Structure","9/10/15","21:49","Delivery truck struck an overhead air duct / No damage to vehicle or personal injury reported","Closed","E00551","9/10/15",NA,"21:49",NA
"1627","Criminal Trespass to Land","6031 S. Ellis ","Granville-Grossman RH","9/11/15","03:48","Unauthorized individual gained access to the building and disregarded orders to leave the premises / Arrested by UCPD","Arrest","E00552","9/11/15",NA,"03:48",NA
"1628","Burglary","5811 S. Ellis ","Cobb Hall","9/11/15","13:46","Unknown person forced entry to 2nd floor office and took a power cord from a desk","Open","E00553","9/11/15",NA,"10:30","12:05"
"1629","Theft","5530 S. Ellis ","Ratner A.C.","9/11/15","16:25","Unattended, unsecured stereo equipment taken from top of lockers in men's locker room","Open","E00554","9/10/15","9/11/15","17:30","08:30"
"1630","Armed Robbery","900 E. 59th St. ","Public Way","9/11/15","21:13","3-4 unknown suspects, one armed with a handgun, took property from a victim walking on the sidewalk / Victim reported no injuries","Open","E00555","9/11/15",NA,"21:00",NA
"1631","Obstructing a Peace Officer","4922 S. Cornell ","Alley","9/13/15","00:23","UCPD officer arrested an individual for obstructing and resisting a peace officer","Arrest","E00556","9/13/15",NA,"00:15",NA
"1632","Theft","1427 E. 60th St. ","Press Building","9/14/15","09:40","Unattended, unsecured purse taken from 2nd floor work cubicle","Open","E00557","9/14/15",NA,"09:20","09:30"
"1633","Lost Property","5758 S. Maryland ","DCAM","9/14/15","15:11","Individual reported losing a plastic I.D. jacket while in the hospital","Closed","E00558","9/14/2015",NA,"17:00","15:10"
"1634","Non-Criminal Damage to Property","5823 S. Kenwood ","Sunny Gym","9/14/15","16:27","Two 6""x12"" window panes in gym shattered by a soccer ball / No injuries reported","Closed","E00559","9/14/15",NA,"16:00",NA
"1635","Traffic Crash","9400 Southwest Hwy. Oak Lawn, IL",NA,"9/14/15","20:28","UC owned vehicle stopped in traffic struck in rear by another vehicle / No injuries reported / No visible damage / Oak Lawn PD report","Closed","E00560","9/11/15",NA,"15:35",NA
"1636","Theft","1111 E. 60th St. ","Law School","9/15/15","18:25","Laptop computer taken from unattended, unsecured bag in 3rd floor library / Follow up investigation revealed the computer was found and kept for safekeeping / Returned to owner on 9/22/15 / No theft involved","Unfounded","E00561","9/15/15",NA,"08:30","09:00"
"1637","Information / Shots Fired","Kimbark between 61st & 62nd",NA,"9/15/15","20:16","CPD and UCPD officers responded to a call of shots fired from a white car fleeing east on 62nd St. / No suspects on the scene / No injuries or property damage reported","CPD","","9/15/15",NA,"20:16",NA
"1638","Lost Property","1100 E. 57th St.",NA,"9/16/15","10:01","Individual reports losing iPhone while on campus / Phone was found on 9/16/15 and returned to owner","Closed","E00562","9/15/16",NA,"14:00","18:20"
"1639","Lost Property","5700 S. Maryland ","CCD","9/16/15","12:49","Visitor left cell phone in patient's room for extended period of time / Phone is missing","Closed","E00563","8/11/15","9/1/15","15:00","15:00"
"1640","Lost Property","5706 S. University ","Court Yard","9/16/15","12:47","iPhone lost between 1155 E. 60th St. and 5706 S. University","Closed","E00564","9/15/15",NA,"15:10","16:40"
"1641","Theft","5747 S. Ellis ","Jones Lab Bike Rack","9/16/15","15:31","Secured bicycle taken from bike rack","Open","E00565","9/16/15",NA,"10:30","15:00"
"1642","Theft","929 E. 57th St. ","Gordon Center Bike Rack","9/16/15","17:33","Secured bicycle taken from bike rack","Open","E00566","9/16/15",NA,"08:00","17:30"
"1643","Information / Armed Robbery","5200 S. Hyde Park ","Harold Washington Park","9/16/15","23:23","Three unknown suspects, one armed with a handgun, took property from a victim walking off campus through the park / The victim reported no injuries / CPD case","CPD","","9/16/15",NA,"23:15",NA
"1644","Information / Shots Fired","5100 S. Drexel",NA,"9/16/15","15:52","CPD and UCPD officers responded to a call of shots fired / Cook County Sheriff's police arrested a suspect for firing a handgun","CPD","","9/16/16",NA,"15:52",NA
"1645","Armed Robbery","900 E. Midway Pl.",NA,"9/17/15","00:55","Three unknown suspects, one armed with a handgun, took cell phones from two victims walking on Midway Pl. / Victims reported no injuries","Open","E00567","9/17/15",NA,"00:50",NA
"1646","Non-Criminal Damage to Property","970 E. 58th St. ","Bookstore","9/17/15","14:13","Water pipe in basement broke / Undetermined amount of water damage to stored merchandise","Closed","E00568","9/17/15",NA,"14:13",NA
"1647","Theft","1005 E. 60th St. ","Burton-Judson RH","9/17/15","16:26","32"" Samsung TV and snack items taken from lounge in room 517","Open","E00569","9/15/15","9/16/15","20:00","13:00"
"1648","Theft","5110 S. Kenwood ","Shelbyrne Apts,","9/18/15","08:10","Unknown person opened and took items from parcels delivered to common area of off-campus apartment building","Open","E00570","9/17/15","9/18/15","19:00","08:20"
"1649","Theft","1101 E. 56th St. ","Max Palevsky RH","9/18/15","13:00","Secured bicycle taken from bike rack","Open","E00571","9/18/15",NA,"09:00","11:00"
"1650","Theft","1116 E. 59th St. ","Harper Library","9/18/15","14:58","Secured bicycle taken from bike rack","Open","E00572","9/15/15","9/18/15","09:00","14:50"
"1651","Assist Other Agency","820 E. Midway Pl.",NA,"9/18/15","21:00","UCPD officers detained a suspect for possession of a replica handgun / Suspect arrested and charged by CPD","CPD","E00573","9/18/15",NA,"21:00",NA
"1652","Information / Armed Robbery","5400 S. Dorchester",NA,"9/18/15","22:25","Two unknown suspects, one armed with a handgun, took property from two victims walking on the sidewalk off-campus / CPD case HY429042","CPD","","9/18/15",NA,"22:20",NA
"1653","Battery","5700 S. Maryland ","CCD","9/19/15","22:39","Staff member struck in face while attending to patient / Staff member refused to sign complaint","Ex. Cleared","E00575","9/19/15",NA,"22:00",NA
"1654","Information / Homicide","44th St. between Greenwood & University",NA,"9/19/15","19:30","Two victims, not affiliated with the University, suffered gunshot wounds, one fatal, during a drive-by shooting off-campus / Second victim transported to hospital by CFD EMS / CPD case","CPD","","9/19/15",NA,"19:30",NA
"1655","Liquor Law Violation","Ingleside between 51st & 52nd",NA,"9/20/15","02:20","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00576","9/20/15",NA,"02:20",NA
"1656","Fire","5835 S. Greenwood ","Stuart Hall","9/20/15","09:28","Fire and smoke reported on 2nd floor of building / CFD arrived, extinguished fire and vented building / Fire originated from a paper shredder in room 231 / No personal injuries","Closed","E00577","9/20/18",NA,"09:28",NA
"1657","Burglary","5730 S. Woodlawn ","Human Development","9/21/15","07:25","Unknown person(s) forced entry to building being renovated / Took 12 extension cords and a ladder","Open","E00578","9/19/15","9/21/15","15:30","06:15"
"1658","Deceptive Practice","5525 S. Ellis ","Maroon Financial","9/21/15","09:52","Fraudulent check deposited to account / Pursuant to follow up by UCPD Investigations, suspect arrested and charged with felony deceptive practice on 2/2/16","Arrest","E00579","9/4/15","9/5/15","14:55","15:50"
"1659","Theft","5747 S. Ellis ","Jones Lab Bike Rack","9/21/15","12:22","Secured bicycle taken from bike rack / Complainant discovered she had secured bike to another rack / Incident unfounded","Unfounded","E00580","9/21/15",NA,"09:00","12:00"
"1660","Information","5801 S. Ellis ","Campus and Student Life","9/21/15","15:38","Information relating to misplaced funds from a student group account / Matter handled internally","Closed","E00581","4/15/15","9/14/15","12:00","12:00"
"1661","Liquor Law Violation","6031 S. Ellis ","Granville-Grossman RH","9/22/15","02:22","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00582","9/22/15",NA,"02:22",NA
"1662","Information","5800 S. Stony Island ","Public Way","9/22/15","15:52","Staff member directing traffic in front of Shapiro School was struck by a vehicle that drove off southbound on Stony Island / Victim refused medical attention / CPD case","CPD","E00583","9/22/15",NA,"14:15",NA
"1663","Information / Burglary","5345 S. Harper ","Harper Crest Apts.","9/22/15","21:00","Unknown person(s) gained entry to off-campus apartment by pushing screen on open first floor bedroom window / Took wallet / CPD case HY434370","CPD","","9/22/15",NA,"20:00","20:55"
"1664","Lost Property","6054 S. Drexel",NA,"9/23/15","12:53","Individual reports losing wallet at unknown location / CPD case HY434978","CPD","E00584","9/23/15",NA,"08:00","08:45"
"1665","Theft","1362 E. 59th St. ","Lab School","9/23/15","13:16","A mini-Mac computer, keyboard and mouse taken from a classroom","Open","E00585","7/30/15","9/22/15","08:00","08:15"
"1666","Liquor Law Violation","1414 E. 59th St. ","I-House","9/24/15","00:33","Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00586","9/24/15",NA,"00:33",NA
"1667","Theft","901 E. 58th St. ","Mitchell ER","9/24/15","08:43","Cash taken from unattended, unsecured purse left on the floor in the emergency room","Open","E00587","9/23/15",NA,"08:00","17:00"
"1668","Criminal Trespass to Land","5801 S. Ellis ","Main Quad","9/24/15","10:56","Individual soliciting funds from passersby was given a written warning of trespass to land","Closed","E00588","9/24/15",NA,"10:55",NA
"1669","Information / Suspicious Package","940 E. 57th St. ","Biopsychological Research","9/24/15","14:44","Staff member opened a package that contained a white powdery substance - analysis revealed to be a controlled substance / CPD case HY436588","CPD","E00589","9/24/15",NA,"14:20",NA
"1670","Medical Call","1414 E. 59th St. ","I-House","9/24/15","22:59","Ill person transported to ER by CFD EMS for evaluation and treatment","Closed","E00590","9/24/15",NA,"22:59",NA
"1671","Liquor Law Violation","901 E. 58th St. ","Mitchell ER","9/25/15","02:40","Underage individual became ill after consuming alcoholic beverages / Escorted to ER for evaluation and treatment","Referred","E00591","9/25/15",NA,"02:40",NA
"1672","Information / Traffic Crash","Interstate 290 - Oak Park, IL",NA,"9/25/15","07:46","UC owned vehicle involved in traffic crash / No injuries reported / No visible damage to vehicles involved / ISP case","ISP","E00592","9/25/15",NA,"07:46",NA
"1673","Liquor Law Violation","5709 S. Ellis ","Snell RH","9/26/15","01:26","Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS","Referred","E00593","9/26/15",NA,"01:26",NA
