"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"1288","administrative information","illinois institute of technology: mies campus: academic/administrative buildings: rettaliata engineering – 10 w 32nd","10 west 32nd street",NA,NA,2017-04-05 17:30:00,"housing notified   notes: iitpsd responded to the rettaliata engineering building for a report an iit student requiring assistance.      thank you","iitpsd responded to the rettaliata engineering building for a report an iit student requiring assistance. thank you","OTHER","41.8368138,-87.6272719",41.8368138,-87.6272719
"1289","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: crown hall – 3360 s state","3360 south state street",NA,NA,2017-04-04 00:04:00,"facilities notified   notes: iitpsd responded to a call at crown hall of a broken handicap door.","iitpsd responded to a call at crown hall of a broken handicap door.","DAMAGE TO PROPERTY","41.8332815,-87.6272979",41.8332815,-87.6272979
"1290","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: general parking locations: d2 lot – 3350 s wabash","3350 s wabash","41.833333","-87.625456",2017-04-04 09:40:00,"cleared by arrest   notes: iitpsd responded to 31st and state for a member of the general public wanted for theft from a motor vehicle in the d-2 lot.","iitpsd responded to 31st and state for a member of the general public wanted for theft from a motor vehicle in the d-2 lot.","THEFT","41.8337479,-87.6250309",41.8337479,-87.6250309
"1291","larceny/theft : other","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-04-04 23:00:00,"closed pending adtl info   notes: iitpsd responded to a call about a debit card that was stolen from an iit student.       thank you","iitpsd responded to a call about a debit card that was stolen from an iit student. thank you","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"1292","harassment : in person","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – east","3241 south wabash ave",NA,NA,2017-03-31 00:15:00,"resident advisor notified   notes: iitpsd responded to msv for a complaint of a student being harassed.","iitpsd responded to msv for a complaint of a student being harassed.","DISTURBANCE","41.8355909,-87.6249574",41.8355909,-87.6249574
"1293","larceny/theft : other","illinois institute of technology: mies campus: academic/administrative buildings: farr hall – 3300 s michigan","3300 south michigan ave",NA,NA,2017-03-31 13:30:00,"police notified   notes: iitpsd was contacted regarding a student victimized by a phone scam.","iitpsd was contacted regarding a student victimized by a phone scam.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"1294","robbery : attempted","illinois institute of technology: mies campus: street locations: 30th street: west: 36-60 dearborn to federal","3300 south michigan ave",NA,NA,2017-03-31 19:38:00,"closed pending adtl info   notes: iitpsd responded to farr hall for a report of an attempted armed robbery.","iitpsd responded to farr hall for a report of an attempted armed robbery.","ROBBERY","41.8346808,-87.6233541",41.8346808,-87.6233541
"1295","robbery : attempted","illinois institute of technology: mies campus: academic/administrative buildings: keating sports center – 3040 s wabash","3040 south wabash ave",NA,NA,2017-03-31 21:43:00,"closed pending adtl info   notes: iitpsd responded to a call of an attempted armed robbery at the keating gym.","iitpsd responded to a call of an attempted armed robbery at the keating gym.","ROBBERY","41.838997,-87.6255751",41.838997,-87.6255751
"1296","alarm : smoke","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – lewis","70 east 33rd street",NA,NA,2017-04-01 03:10:00,"cleared – no further action   notes: iitpsd responded to the msv lewis hall lounge, 1st floor, for an alarm activated by burnt popcorn.","iitpsd responded to the msv lewis hall lounge, 1st floor, for an alarm activated by burnt popcorn.","ALARM","41.8349314,-87.6242645",41.8349314,-87.6242645
"1297","larceny/theft : bicycles","illinois institute of technology: mies campus: zone 6","3300 south michigan ave",NA,NA,2017-04-01 16:40:00,"cleared – no further action   notes: iitpsd responded to farr hall to take a report for a stolen bicycle","iitpsd responded to farr hall to take a report for a stolen bicycle","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"1298","injured/sick person : report only : student","illinois institute of technology: mies campus: other: soccer field – 31st & federal","31st street and south federal street",NA,NA,2017-04-02 13:35:00,"cleared – no further action   notes: iitpsd responded to stuart field for an injured student report.","iitpsd responded to stuart field for an injured student report.","MEDICAL INCIDENT","41.8382603,-87.6289524",41.8382603,-87.6289524
"1299","suspicious activity","illinois institute of technology: mies campus: academic/administrative buildings: metals building – 3350 s federal","3350 south federal street",NA,NA,2017-04-02 20:50:00,"housing notified   notes: iitpsd responded to a call of possible suspicious activity.       thank you","iitpsd responded to a call of possible suspicious activity. thank you","SUSPICION","41.8337268,-87.6288487",41.8337268,-87.6288487
"1300","injured/sick person : emergency medical transport/ambulance : student","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-05-30 03:40:00,"housing notified   notes: iitpsd responded to a call of a student with breathing difficulties.","iitpsd responded to a call of a student with breathing difficulties.","MEDICAL INCIDENT","41.837081,-87.623923",41.837081,-87.623923
"1301","accident : motor vehicle","illinois institute of technology: mies campus: street locations: 33rd street: west: 60-150 federal to lasalle","3340 south michigan ave",NA,NA,2017-05-25 17:20:00,"cleared – no further action   notes: iitpsd responded to a motor vehicle accident on 33rd and lasalle.       thank you","iitpsd responded to a motor vehicle accident on 33rd and lasalle. thank you","ACCIDENT","41.8336361,-87.6236964",41.8336361,-87.6236964
"1302","battery-simple : hands/fists/feet","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-05-23 09:30:00,"closed pending adtl info   notes: iitpsd responded to farr hall for a battery report.       thank you","iitpsd responded to farr hall for a battery report. thank you","BATTERY","41.837081,-87.623923",41.837081,-87.623923
"1303","accident : motor vehicle","illinois institute of technology: mies campus: general parking locations: d5 lot – 3420 sstate","e 34th and south wabash","41.831964","-87.625441",2017-05-22 08:25:00,"cleared – no further action   notes: iitpsd responded to a minor motor vehicle accident in the d5 permit lot.       thank you","iitpsd responded to a minor motor vehicle accident in the d5 permit lot. thank you","ACCIDENT","41.8328558,-87.6250128",41.8328558,-87.6250128
"1304","injured/sick person : report only : student","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-05-19 21:00:00,"housing notified   notes: iitpsd responded to gunsaulus hall for a non-emergency medical transport.","iitpsd responded to gunsaulus hall for a non-emergency medical transport.","MEDICAL INCIDENT","41.837081,-87.623923",41.837081,-87.623923
"1305","alarm : fire","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – east","3241 south wabash ave",NA,NA,2017-05-21 10:51:00,"cleared – no further action   notes: iitpsd responded to msv for an actived fire alarm.       thank you","iitpsd responded to msv for an actived fire alarm. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"1306","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: perlstein hall – 10 w 33rd","10 west 33rd street",NA,NA,2017-05-18 09:15:00,"cleared – no further action   notes: iitpsd responded to perlstein hall for a damage to property incident.       thank you and have a great weekend!","iitpsd responded to perlstein hall for a damage to property incident. thank you and have a great weekend!","DAMAGE TO PROPERTY","41.835479,-87.6271529",41.835479,-87.6271529
"1307","robbery : strong-arm hand/fists/feet","illinois institute of technology: mies campus: street locations: 31st street: west: 1-36 state to dearborn","3300 south michigan ave",NA,NA,2017-05-12 11:05:00,"cleared – no further action   notes: an iit student came to farr hall to file a delayed incident report.","an iit student came to farr hall to file a delayed incident report.","OTHER","41.8346808,-87.6233541",41.8346808,-87.6233541
"1308","disturbance","illinois institute of technology: mies campus: academic/administrative buildings: hermann hall – 3241 s federal","3241 south federal street",NA,NA,2017-05-15 14:10:00,"closed pending adtl info   notes: iitpsd took a delayed disturbance report at the life sciences building.","iitpsd took a delayed disturbance report at the life sciences building.","DISTURBANCE","41.8356669,-87.6283867",41.8356669,-87.6283867
"1309","suspicious activity","illinois institute of technology: mies campus: academic/administrative buildings: metals building – 3350 s federal","3350 south federal street",NA,NA,2017-05-15 18:45:00,"cleared – no further action   notes: iitpsd took a report for unusual activity at the metals building involving unattended alcohol.","iitpsd took a report for unusual activity at the metals building involving unattended alcohol.","LIQUOR LAW VIOLATION","41.8337268,-87.6288487",41.8337268,-87.6288487
