"","Incident","Location","Address","Lat","Long","Occured","Disposition","Notes","temp_inc","lat_long","Latitude","Longitude"
"1210","investigation","illinois institute of technology: mies campus: academic/administrative buildings: wishnick hall – 3255 s dearborn","3255 south dearborn street",NA,NA,2017-03-24 15:12:00,"closed pending adtl info   notes: iitpsd received a call of damage to property at wishnick hall.","iitpsd received a call of damage to property at wishnick hall.","DAMAGE TO PROPERTY","41.8395245,-87.6282449",41.8395245,-87.6282449
"1211","utility incident : water","illinois institute of technology: mies campus: academic/administrative buildings:engineering research – 55 w 34th","55 w 34th street",NA,NA,2017-03-24 16:53:00,"facilities notified   notes: iitpsd responded to a ceiling leak in erb north.","iitpsd responded to a ceiling leak in erb north.","UTILITY INCIDENT","41.8325021,-87.6287412",41.8325021,-87.6287412
"1212","damage to property","illinois institute of technology: mies campus: other: glancey field",NA,NA,NA,2017-03-24 17:35:00,"cleared – no further action   notes: iitpsd responded to a call of damage to property for a member of the general public.","iitpsd responded to a call of damage to property for a member of the general public.","DAMAGE TO PROPERTY","NA",NA,NA
"1213","utility incident : elevator : malfunction","illinois institute of technology: mies campus: academic/administrative buildings: 3424 s state","3424 south state",NA,NA,2017-03-24 17:42:00,"facilities notified   notes: iitpsd was notified that the 3424 tech north elevator was out of service.","iitpsd was notified that the 3424 tech north elevator was out of service.","UTILITY INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"1214","damage to property","illinois institute of technology: mies campus: street locations: 31st street: east: 45-100 wabash to michigan","31st   and  south wabash ave",NA,NA,2017-03-24 18:28:00,"cleared – no further action   notes: iitpsd responded to call of damage to an auto on the corner of east 31st and michigan ave.","iitpsd responded to call of damage to an auto on the corner of east 31st and michigan ave.","DAMAGE TO PROPERTY","41.8383211,-87.6251317",41.8383211,-87.6251317
"1215","miscellaneous incident","illinois institute of technology: mies campus: residential buildings: fraternity/sorority:tri – 3360 s michigan","3360 south michigan ave",NA,NA,2017-03-24 18:40:00,"cleared – no further action   notes: iitpsd responded to farr hall for a report of unusual activity involving an iit student.","iitpsd responded to farr hall for a report of unusual activity involving an iit student.","DISTURBANCE","41.8330588,-87.623592",41.8330588,-87.623592
"1216","injured/sick person : report only : general public/visitor","illinois institute of technology: mies campus: academic/administrative buildings: 3410 s state","3410 south state",NA,NA,2017-03-25 23:55:00,"cleared – no further action   notes: iitpsd responded to 34th and state for a sick member of the general public.","iitpsd responded to 34th and state for a sick member of the general public.","MEDICAL INCIDENT","41.8325879,-87.6271518",41.8325879,-87.6271518
"1217","well being check","illinois institute of technology: mies campus: residential buildings: state street village:ssv middle – 3333 s state","3333 south state",NA,NA,2017-03-26 20:40:00,"cleared – no further action   notes: iitpsd responded to a call of a student at ssvn/ssvm having a panic attack.","iitpsd responded to a call of a student at ssvn/ssvm having a panic attack.","MEDICAL INCIDENT","41.8337217,-87.6262175",41.8337217,-87.6262175
"1218","disturbance","illinois institute of technology: mies campus: street locations: 33rd street: east: 45-100 wabash to michigan","33rd   and  south wabash ave",NA,NA,2017-03-26 23:10:00,"housing notified   notes: iitpsd responded to a disturbance between two iit students at 33rd and wabash.       thank you!","iitpsd responded to a disturbance between two iit students at 33rd and wabash. thank you!","DISTURBANCE","41.8346765,-87.6250498",41.8346765,-87.6250498
"1219","alarm : smoke","illinois institute of technology: mies campus: academic/administrative buildings: farr hall -3300 s michigan","3300 south michigan ave",NA,NA,2017-03-22 11:05:00,"facilities notified   notes: iitpsd responded to farr hall for a smell of something burning in the basement.","iitpsd responded to farr hall for a smell of something burning in the basement.","OTHER","41.8346808,-87.6233541",41.8346808,-87.6233541
"1220","injured/sick person : report only : student","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – south","3241 south wabash ave",NA,NA,2017-03-22 19:56:00,"cleared – no further action   notes: iitpsd responded to msv south hall for a non-emergency transport for an iit student.       thank you","iitpsd responded to msv south hall for a non-emergency transport for an iit student. thank you","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
"1221","larceny/theft : other","illinois institute of technology: mies campus: other: off campus location","30th   and  south state str",NA,NA,2017-03-20 12:54:00,"cleared by arrest   notes: iitpsd responded to 30th and state for a theft report.","iitpsd responded to 30th and state for a theft report.","THEFT","41.8395568,-87.6267987",41.8395568,-87.6267987
"1222","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-03-20 16:00:00,"cleared – no further action   notes: iitpsd responded to the tower for an non-emergency transport to mercy hospital.       thank you","iitpsd responded to the tower for an non-emergency transport to mercy hospital. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1223","accident : motor vehicle","illinois institute of technology: mies campus: street locations: 30th street: east: 1-45state to wabash","30th   and  south state str",NA,NA,2017-03-17 12:35:00,"police notified   notes: iitpsd responded to 30th and wabash for a motor vehicle accident on iit property.","iitpsd responded to 30th and wabash for a motor vehicle accident on iit property.","ACCIDENT","41.8395568,-87.6267987",41.8395568,-87.6267987
"1224","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: academic/administrative buildings:tower – 10w 35th","10 west 35th street",NA,NA,2017-03-17 13:30:00,"closed – no further action possible   notes: iitpsd responded to the tower for a non-emergency medical transport to mercy hospital.","iitpsd responded to the tower for a non-emergency medical transport to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1225","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: 3424 s state","3424 south state",NA,NA,2017-03-17 13:58:00,"facilities notified   notes: iitpsd responded to a report of a broken window at 3424 s. state.","iitpsd responded to a report of a broken window at 3424 s. state.","DAMAGE TO PROPERTY","41.8325159,-87.6271296",41.8325159,-87.6271296
"1226","drug/narcotic offense","illinois institute of technology: mies campus: residential buildings: carmen hall – 60 e 32nd","60 east 32nd street",NA,NA,2017-03-18 01:00:00,"housing notified   notes: iitpsd responded to carmen hall for a smell of marijuana.","iitpsd responded to carmen hall for a smell of marijuana.","NARCOTICS","41.8366771,-87.6246551",41.8366771,-87.6246551
"1227","alarm : fire","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2017-03-19 23:23:00,"cleared – no further action   notes: iitpsd responded to a fire alarm at msv.       thank you","iitpsd responded to a fire alarm at msv. thank you","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"1228","injured/sick person","illinois institute of technology: mies campus: general parking locations: d5 lot – 3420 s state","e 34th and south wabash","41.831964","-87.625441",2017-03-15 11:00:00,"cleared – no further action   notes: iitpsd was notified of a slip and fall involving a tower employee.       thank you","iitpsd was notified of a slip and fall involving a tower employee. thank you","MEDICAL INCIDENT","41.8328558,-87.6250128",41.8328558,-87.6250128
"1229","utility incident : hvac","illinois institute of technology: mies campus: academic/administrative buildings: technology park – 3340 s dearborn","3424 south state street",NA,NA,2017-03-14 01:00:00,"facilities notified   notes: iitpsd responded to a call of a large amount of steam on the second floor of 3440 s. state street ( tech south ).       thank you!","iitpsd responded to a call of a large amount of steam on the second floor of 3440 s. state street (tech south). thank you!","UTILITY INCIDENT","41.8325159,-87.6271296",41.8325159,-87.6271296
"1230","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: street locations: intersections: 33rd & michigan","3300 south michigan ave",NA,NA,2017-03-11 09:00:00,"police notified notes: iitpsd responded to farr hall for an off campus theft report for an iit student.","iitpsd responded to farr hall for an off campus theft report for an iit student.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"1231","missing person","illinois institute of technology: mies campus: academic/administrative buildings: stuart building – 10 w 31st","10 west 31st street",NA,NA,2017-03-11 15:35:00,"police notified notes: iitpsd responded to 31st state street for an activated e-phone set off by a lost child.","iitpsd responded to 31st state street for an activated e-phone set off by a lost child.","ALARM","41.8387343,-87.6273991",41.8387343,-87.6273991
"1232","injured/sick person : report only : employee/staff/faculty","illinois institute of technology: vandercook – 3140 s federal","3140 south federal street",NA,NA,2017-03-13 09:39:00,"cleared – no further action notes: iitpsd responded to the west side of hermann hall for an injury report involving an employee. thank you!","iitpsd responded to the west side of hermann hall for an injury report involving an employee. thank you!","MEDICAL INCIDENT","41.8367645,-87.6291973",41.8367645,-87.6291973
"1233","disturbance","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-03-09 15:25:00,"cleared – no further action   notes: iitpsd responded to the iit tower for a disturbance involving members of the general public.        thank you and have a great weekend!","iitpsd responded to the iit tower for a disturbance involving members of the general public. thank you and have a great weekend!","DISTURBANCE","41.8313959,-87.6272312",41.8313959,-87.6272312
"1234","alarm","illinois institute of technology: mies campus: academic/administrative buildings: galvin library – 35 w 33rd","35 west 33rd street",NA,NA,2017-03-08 04:57:00,"facilities notified   notes: iitpsd responded to an alarm at galvin library.       thank you","iitpsd responded to an alarm at galvin library. thank you","ALARM","41.8346762,-87.6275327",41.8346762,-87.6275327
"1235","injured/sick person","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-03-07 10:30:00,"cleared – no further action   notes: iitpsd assisted with a non-emergency transport for an iit student.","iitpsd assisted with a non-emergency transport for an iit student.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1236","alarm : smoke","illinois institute of technology: mies campus: residential buildings: fraternity/sorority:asa – 3340 s michigan","3340 south michigan ave",NA,NA,2017-03-07 14:45:00,"housing notified   notes: iitpsd responded to the alpha sigma alpha for a smoke alarm.","iitpsd responded to the alpha sigma alpha for a smoke alarm.","ALARM","41.8336361,-87.6236964",41.8336361,-87.6236964
"1237","alarm : fire","illinois institute of technology: mies campus: residential buildings: fraternity/sorority:kappa – 3330 s michigan","3330 south michigan",NA,NA,2017-03-07 16:55:00,"housing & fac notified   notes: iitpsd responded to the kappa house for an fire alarm activation.","iitpsd responded to the kappa house for an fire alarm activation.","ALARM","41.833916,-87.6237408",41.833916,-87.6237408
"1238","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: street locations: 30th street: east: 1-45 state to wabash","30th   and  south state str",NA,NA,2017-03-07 17:10:00,"police notified   notes: iitpsd responded to 30th wabash for a theft report for a member of the general public.","iitpsd responded to 30th wabash for a theft report for a member of the general public.","THEFT","41.8395568,-87.6267987",41.8395568,-87.6267987
"1239","alarm : fire","illinois institute of technology: mies campus: residential buildings: fraternity/sorority:kappa – 3330 s michigan","3330 south michigan",NA,NA,2017-03-07 19:00:00,"facilities notified   notes: iitpsd responded to kappa house for an active fire alarm.","iitpsd responded to kappa house for an active fire alarm.","ALARM","41.833916,-87.6237408",41.833916,-87.6237408
"1240","larceny/theft : other","illinois institute of technology: mies campus: academic/administrative buildings: crown hall – 3360 s state","3360 south state street",NA,NA,2017-03-07 19:25:00,"cleared – no further action   notes: iitpsd responded to farr hall for a theft report.       thank you!","iitpsd responded to farr hall for a theft report. thank you!","THEFT","41.8332815,-87.6272979",41.8332815,-87.6272979
"1241","damage to property","illinois institute of technology: mies campus: street locations: 31st street: east: 45-100 wabash to michigan","31st   and  south wabash ave",NA,NA,2017-03-04 14:20:00,"police notified   notes: iitpsd responded to 31st in between wabash and michigan for a damage to property report for a member of the general public.","iitpsd responded to 31st in between wabash and michigan for a damage to property report for a member of the general public.","DAMAGE TO PROPERTY","41.8383211,-87.6251317",41.8383211,-87.6251317
"1242","trespassing : criminal trespass to land","illinois institute of technology: kent campus – 565 w adams","565 west adams street",NA,NA,2017-03-05 18:40:00,"police notified   notes: iit responded to a criminal trespass to land report for a member of the general public at kent college of law.","iit responded to a criminal trespass to land report for a member of the general public at kent college of law.","TRESPASS","41.8791377,-87.6422057",41.8791377,-87.6422057
"1243","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: galvin library – 35 w 33rd","35 west 33rd street",NA,NA,2017-03-05 23:30:00,"facilities notified   notes: iitpsd responded to galvin library for a damage to property report.","iitpsd responded to galvin library for a damage to property report.","DAMAGE TO PROPERTY","41.8346762,-87.6275327",41.8346762,-87.6275327
"1244","alarm : fire","illinois institute of technology: mies campus: residential buildings: fraternity/sorority:pkp – 3333 s wabash","3333 south wabash ave",NA,NA,2017-03-06 11:41:00,"housing & fac notified   notes: iitpsd responded to the pkp fraternity house for an active fire alarm.","iitpsd responded to the pkp fraternity house for an active fire alarm.","ALARM","41.8339094,-87.6246385",41.8339094,-87.6246385
"1245","suspicious activity","illinois institute of technology: mies campus: residential buildings: state street village:ssv north – 3303 s state","3303 south state",NA,NA,2017-03-06 14:00:00,"closed pending adtl info   notes: iitpsd responded to ssvn for a suspicious activity report involving a drone.","iitpsd responded to ssvn for a suspicious activity report involving a drone.","SUSPICION","41.8342852,-87.6261837",41.8342852,-87.6261837
"1246","larceny/theft : bicycles","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-03-06 20:20:00,"cleared – no further action   notes: iitpsd responded to farr hall for a bicycle theft report.       thank you!","iitpsd responded to farr hall for a bicycle theft report. thank you!","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"1247","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-03-01 16:18:00,"housing notified   notes: iitpsd provided an non-emergency transport to mercy hospital for an iit student       thank you","iitpsd provided an non-emergency transport to mercy hospital for an iit student thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1248","suspicious activity","illinois institute of technology: mies campus: residential buildings: state street village:ssv north – 3303 s state","3303 south state",NA,NA,2017-02-28 15:10:00,"cleared – no further action   notes: iitpsd responded to ssvn for a complaint by an iit student.","iitpsd responded to ssvn for a complaint by an iit student.","DISTURBANCE","41.8342852,-87.6261837",41.8342852,-87.6261837
"1249","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-02-28 15:35:00,"closed – no further action possible   notes: iitpsd responded to the tower for an non-emergency transport to mercy hospital       thank you","iitpsd responded to the tower for an non-emergency transport to mercy hospital thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1250","disturbance","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-04-26 19:30:00,"housing notified   notes: iitpsd responded to gunsaulus hall for a report of a disturbance involving iit students.","iitpsd responded to gunsaulus hall for a report of a disturbance involving iit students.","DISTURBANCE","41.837081,-87.623923",41.837081,-87.623923
"1251","well being check","illinois institute of technology: mies campus: residential buildings: state street village: ssv middle – 3333 s state","3333 south state",NA,NA,2017-04-26 22:15:00,"housing notified   notes: iitpsd responded to ssvm for a well-being check of an iit student       thank you","iitpsd responded to ssvm for a well-being check of an iit student thank you","WELL BEING CHECK","41.8337217,-87.6262175",41.8337217,-87.6262175
"1252","robbery : attempted","illinois institute of technology: mies campus: street locations: michigan: 3000-3100 south","3100 South State street",NA,NA,2017-04-25 19:55:00,"cleared – no further action   notes: iitpsd responded to 29th and michigan for an off campus attempted robbery of an iit student.","iitpsd responded to 29th and michigan for an off campus attempted robbery of an iit student.","ROBBERY","41.838277,-87.6267727",41.838277,-87.6267727
"1253","larceny/theft : other","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-04-25 20:21:00,"cleared – no further action   notes: iitpsd responded to mtcc for a theft report of iit students       thank you!","iitpsd responded to mtcc for a theft report of iit students thank you!","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"1254","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: street locations: 30th street: east: 1-45 state to wabash","30th   and  south state str",NA,NA,2017-04-21 14:00:00,"cleared by arrest notes: iitpsd responded to 30th and wabash for a theft from vehicle report.","iitpsd responded to 30th and wabash for a theft from vehicle report.","THEFT","41.8395568,-87.6267987",41.8395568,-87.6267987
"1255","alarm : fire","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – lewis","70 east 33rd street",NA,NA,2017-04-23 11:38:00,"cleared – no further action notes: iitpsd responded to msv for an activated fire alarm","iitpsd responded to msv for an activated fire alarm","ALARM","41.8349314,-87.6242645",41.8349314,-87.6242645
"1256","drug/narcotic offense","illinois institute of technology: mies campus: academic/administrative buildings: metals building – 3350 s federal","3350 south federal street",NA,NA,2017-04-23 12:10:00,"cleared – no further action notes: iitpsd responded to metals north building for a narcotics report","iitpsd responded to metals north building for a narcotics report","NARCOTICS","41.8337268,-87.6288487",41.8337268,-87.6288487
"1257","alarm : fire","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – fowler","3241 south wabash ave",NA,NA,2017-04-23 14:12:00,"cleared – no further action notes: iitpsd responded to msv for an active fire alarm.","iitpsd responded to msv for an active fire alarm.","ALARM","41.8355909,-87.6249574",41.8355909,-87.6249574
"1258","injured/sick person : report only","illinois institute of technology: mies campus: academic/administrative buildings: galvin library – 35 w 33rd","35 west 33rd street",NA,NA,2017-04-23 23:32:00,"notes: iitpsd responded to galvin library for a injured student report.","iitpsd responded to galvin library for a injured student report.","MEDICAL INCIDENT","41.8346762,-87.6275327",41.8346762,-87.6275327
"1259","robbery","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-04-24 02:48:00,"police notified notes: iitpsd responded to a robbery of a member of the general public that occurred near 33rd and state.","iitpsd responded to a robbery of a member of the general public that occurred near 33rd and state.","ROBBERY","41.8330588,-87.623592",41.8330588,-87.623592
"1260","injured/sick person : emergency medical transport/ambulance : general public/visitor","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-04-24 19:22:00,"cleared – no further action notes: iitpsd responded to the tower for an emergency medical transport for a member of the general public. thank you","iitpsd responded to the tower for an emergency medical transport for a member of the general public. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1261","disturbance","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-04-20 13:45:00,"housing notified   notes: iitpsd responded to gunsaulus hall for a disturbance call.","iitpsd responded to gunsaulus hall for a disturbance call.","DISTURBANCE","41.837081,-87.623923",41.837081,-87.623923
"1262","larceny/theft : other","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2017-04-20 15:41:00,NA,"iitpsd responded to msv for a reported theft by a vendor. thank you and have a great weekend!","THEFT","41.8355909,-87.6249574",41.8355909,-87.6249574
"1263","disturbance","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-04-19 13:57:00,"closed pending adtl info notes: iitpsd responded to the commons eating area for a disturbance. thank you","iitpsd responded to the commons eating area for a disturbance. thank you","DISTURBANCE","41.8330588,-87.623592",41.8330588,-87.623592
"1264","battery-aggravated : firearm","illinois institute of technology: mies campus: general parking locations: d5 lot – 3420 s state","e 34th and south wabash","41.831964","-87.625441",2017-04-18 11:00:00,"police notified notes: iitpsd responded to a report of an alleged shooting incident in the d #5 parking lot.","iitpsd responded to a report of an alleged shooting incident in the d #5 parking lot.","WEAPON","41.8328558,-87.6250128",41.8328558,-87.6250128
"1265","dating violence","illinois institute of technology: mies campus: residential buildings: state street village:ssv middle – 3333 s state","3333 south state",NA,NA,2017-04-18 21:00:00,"housing notified notes: iitpsd responded to a disturbance in ssv middle.   thank you","iitpsd responded to a disturbance in ssv middle. thank you","DISTURBANCE","41.8337217,-87.6262175",41.8337217,-87.6262175
"1266","miscellaneous incident","illinois institute of technology: mies campus: general parking locations: c2 lot – 35 w 33rd","3300 south federal st","41.833314","-87.628832",2017-04-17 08:50:00,"cleared – no further action   notes: iit responded to the c2 lot for an unconscious person in the back seat of a vehicle.","iit responded to the c2 lot for an unconscious person in the back seat of a vehicle.","MEDICAL INCIDENT","41.8317456,-87.6272461",41.8317456,-87.6272461
"1267","larceny/theft : from motor vehicle","illinois institute of technology: mies campus: other: off campus location",NA,NA,NA,2017-04-17 23:15:00,"cleared – no further action   notes: iitpsd responded to a call of an iit student’s car had been broken into while parked off campus.","iitpsd responded to a call of an iit student’s car had been broken into while parked off campus.","DAMAGE TO PROPERTY","NA",NA,NA
"1268","well being check","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – north","71 east 32nd street",NA,NA,2017-04-17 23:48:00,"housing notified   notes: iitpsd responded to a call at msv for a well being check.       thank you","iitpsd responded to a call at msv for a well being check. thank you","WELL BEING CHECK","41.8367387,-87.6238295",41.8367387,-87.6238295
"1269","alarm","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash: msv – graduate","70 east 33rd street",NA,NA,2017-04-16 04:09:00,"housing notified   notes: iitpsd responded to a fire alarm at grad hall caused by burnt food.       thank you","iitpsd responded to a fire alarm at grad hall caused by burnt food. thank you","ALARM","41.8349314,-87.6242645",41.8349314,-87.6242645
"1270","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: main building – 3300 s federal","3300 south federal street",NA,NA,2017-04-12 08:00:00,"closed pending adtl info   notes: iitpsd responded to the main building for a damage to property report.","iitpsd responded to the main building for a damage to property report.","DAMAGE TO PROPERTY","41.8317456,-87.6272461",41.8317456,-87.6272461
"1271","injured/sick person","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-04-12 09:28:00,"cleared – no further action   notes: iitpsd was notified that a member of the general public was complaining about eye problem and cfd was contacted to transport her to mercy hospital.","iitpsd was notified that a member of the general public was complaining about eye problem and cfd was contacted to transport her to mercy hospital.","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1272","assist other agency/department","illinois institute of technology: mies campus: street locations: state: 3400-3500 south","3500 South State Street",NA,NA,2017-04-12 11:15:00,"police notified   notes: iitpsd assisted with a motor vehicle accident involving two chicago police officers.","iitpsd assisted with a motor vehicle accident involving two chicago police officers.","ACCIDENT","41.830945,-87.6266428",41.830945,-87.6266428
"1273","accident : motor vehicle","illinois institute of technology: mies campus: general parking locations: d5 lot – 3420 sstate","e 34th and south wabash","41.831964","-87.625441",2017-04-12 14:05:00,"closed pending adtl info   notes: iitpsd responded to the d #5 parking lot for a hit and run motor vehicle accident.","iitpsd responded to the d #5 parking lot for a hit and run motor vehicle accident.","ACCIDENT","41.8328558,-87.6250128",41.8328558,-87.6250128
"1274","disturbance","illinois institute of technology: mies campus: academic/administrative buildings: keating sports center – 3040 s wabash","3040 south wabash ave",NA,NA,2017-04-12 20:02:00,"cleared – no further action   notes: iitpsd responded to keating gym for a report of a disturbance involving an iit student.","iitpsd responded to keating gym for a report of a disturbance involving an iit student.","DISTURBANCE","41.838997,-87.6255751",41.838997,-87.6255751
"1275","disturbance","illinois institute of technology: mies campus: academic/administrative buildings:keating sports center – 3040 s wabash","3040 south wabash ave",NA,NA,2017-04-12 21:19:00,"cleared – no further action   notes: iitpsd responded to keating gym for a disturbance involving an iit student","iitpsd responded to keating gym for a disturbance involving an iit student","DISTURBANCE","41.838997,-87.6255751",41.838997,-87.6255751
"1276","injured/sick person : non-emergency medical transport : student","illinois institute of technology: mies campus: academic/administrative buildings:engineering research – 55 w 34th","55 w 34th street",NA,NA,2017-04-13 10:35:00,"cleared – no further action   notes: iitpsd responded to e1 for a non-emergency medical transport to the health and wellness center for an iit student.","iitpsd responded to e1 for a non-emergency medical transport to the health and wellness center for an iit student.","MEDICAL INCIDENT","41.8325021,-87.6287412",41.8325021,-87.6287412
"1277","battery-simple","illinois institute of technology: mies campus: other: off campus location",NA,NA,NA,2017-04-13 14:00:00,"cleared – no further action   notes: iitpsd took a report from a student regarding an off campus physical altercation.       thank you","iitpsd took a report from a student regarding an off campus physical altercation. thank you","BATTERY","NA",NA,NA
"1278","miscellaneous incident","illinois institute of technology: mies campus: residential buildings: gunsaulus hall – 3140 s michigan","3140 south michigan ave",NA,NA,2017-04-07 15:44:00,"housing notified notes: iitpsd responded to gunsaulus hall to assist with a dispute.","iitpsd responded to gunsaulus hall to assist with a dispute.","ASSAULT","41.837081,-87.623923",41.837081,-87.623923
"1279","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: metals building – 3350 s federal","3350 south federal street",NA,NA,2017-04-07 18:23:00,"cleared – no further action notes: iitpsd responded to a non-emergency medical transport of an iit student at the metals building.","iitpsd responded to a non-emergency medical transport of an iit student at the metals building.","MEDICAL INCIDENT","41.8337268,-87.6288487",41.8337268,-87.6288487
"1280","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: farr hall -3300 s michigan","3300 south michigan ave",NA,NA,2017-04-08 04:50:00,"closed – no further action possible notes: iitpsd provided a non-emergency transport to mercy hospital for an iitpsd employee.","iitpsd provided a non-emergency transport to mercy hospital for an iitpsd employee.","MEDICAL INCIDENT","41.8346808,-87.6233541",41.8346808,-87.6233541
"1281","larceny/theft : shoplifting","illinois institute of technology: mies campus: academic/administrative buildings: mccormick tribune campus center – 3201 s state","3360 south michigan ave",NA,NA,2017-04-08 23:30:00,"cleared – no further action notes: iitpsd responded to the campus 7/11 for a report of shoplifting by a member of the general public.","iitpsd responded to the campus 7/11 for a report of shoplifting by a member of the general public.","THEFT","41.8330588,-87.623592",41.8330588,-87.623592
"1282","damage to property","illinois institute of technology: mies campus: street locations: 33rd street",NA,NA,NA,2017-04-09 00:05:00,"closed pending adtl info notes: iitpsd responded for a report of damage to an iitpsd vehicle.","iitpsd responded for a report of damage to an iitpsd vehicle.","DAMAGE TO PROPERTY","NA",NA,NA
"1283","utility incident : water","illinois institute of technology: mies campus: academic/administrative buildings: life science research – 35 w 34th","35 west 34th street",NA,NA,2017-04-09 13:18:00,"facilities notified notes: iitpsd responded to lsr for water leaking from the ceiling.   thank you!","iitpsd responded to lsr for water leaking from the ceiling. thank you!","UTILITY INCIDENT","41.8328143,-87.628466",41.8328143,-87.628466
"1284","damage to property","illinois institute of technology: mies campus: academic/administrative buildings: hermann hall – 3241 s federal","3241 south federal street",NA,NA,2017-04-06 06:50:00,"facilities notified   notes: iitpsd responded to the north hermann hall loading dock for a damage to property report.","iitpsd responded to the north hermann hall loading dock for a damage to property report.","DAMAGE TO PROPERTY","41.8356669,-87.6283867",41.8356669,-87.6283867
"1285","larceny/theft : other","illinois institute of technology: mies campus: street locations: 34th street: east: 1-45 state to wabash","3300 south michigan ave",NA,NA,2017-04-06 14:08:00,"police notified   notes: iitpsd assisted an iit student that came to farr hall to file a theft report.","iitpsd assisted an iit student that came to farr hall to file a theft report.","THEFT","41.8346808,-87.6233541",41.8346808,-87.6233541
"1286","injured/sick person : non-emergency medical transport","illinois institute of technology: mies campus: academic/administrative buildings: tower – 10w 35th","10 west 35th street",NA,NA,2017-04-06 15:10:00,"cleared – no further action   notes: iitpsd responded to the tower health and wellness center for non-emergency transport.      thank you","iitpsd responded to the tower health and wellness center for non-emergency transport. thank you","MEDICAL INCIDENT","41.8313959,-87.6272312",41.8313959,-87.6272312
"1287","injured/sick person : non-emergency medical transport : employee/staff/faculty","illinois institute of technology: mies campus: residential buildings: mccormick student village – 3241 s wabash","3241 south wabash ave",NA,NA,2017-04-05 09:00:00,"closed – no further action possible   notes: iitpsd provided a non-emergency medical transport for a staff member.","iitpsd provided a non-emergency medical transport for a staff member.","MEDICAL INCIDENT","41.8355909,-87.6249574",41.8355909,-87.6249574
